No,Name,Updated SMILES,%F,logK(%F),Category,Source,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
81,Atropine (DL),CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,50.0,0.0,0,"5,8,12,13,14,15,16",289.37500000000006,4,1,1.9308999999999996,1
82,Avitriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1,17.200001,-0.682501859,0,"5,8,13,14,16",458.5880000000003,7,2,1.7705000000000002,1
83,Azathioprine,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,60.0,0.176091259,1,"5,8,12,13,14,15,16",277.269,8,1,1.1457999999999997,1
84,Azelastine,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,99.0,1.995635195,1,"5,8,13,14,16",381.9070000000002,4,0,4.297500000000004,1
85,azidocillin,CC1(C)SC2C(NC(=O)C(N=[N+]=[N-])c3ccccc3)C(=O)N2C1C(=O)O,60.0,0.176091259,1,"5,8,13,14,16",375.41000000000014,5,2,1.6697,1
86,Azithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,34.0,-0.288065018,0,"5,8,10,12,13,14,15,16",748.9960000000001,14,5,1.9007000000000054,0
87,Azlocillin,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O,0.0,-2.0,0,"5,8,13,14,16",461.50000000000017,6,4,0.0942000000000009,1
88,Azosemide,NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,10.0,-0.954242509,0,"5,8,13,14,16",370.8470000000001,7,3,1.8410999999999997,1
89,Aztreonam,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,1.0,-1.995635195,0,"5,8,10,13,14,15,16",435.44000000000017,10,4,-1.1724999999999979,1
90,Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,90.0,0.954242509,1,"5,8,12,13,14,15,16",213.664,2,2,1.857,1
91,Balsalazide,O=C(O)CCNC(=O)c1ccc(NN=C2C=CC(=O)C(C(=O)O)=C2)cc1,1.0,-1.995635195,0,"5,8,13,14,16",357.3220000000001,6,4,0.8088999999999997,1
92,Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,15.0,-0.753327667,0,"5,8,13,14,16",367.4460000000001,6,2,2.2288999999999994,1
93,Barnidipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,1.0,-1.995635195,0,"5,8,13,14,16",491.5440000000002,8,1,3.8203000000000022,1
94,Benazepril,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,18.0,-0.658541347,0,"5,8,13,14,15,16",424.49700000000024,5,2,2.5731,1
95,Bencyclane,CN(C)CCCOC1(Cc2ccccc2)CCCCCC1,51.0,0.017374096,1,"5,8,13,14,16",289.4630000000001,2,0,4.2904000000000035,1
96,Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,90.0,0.954242509,1,"5,8,13,14,16",421.4220000000001,5,3,1.6254000000000004,1
97,Benperidol,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,40.0,-0.176091259,0,"5,8,13,14,16",381.4510000000002,4,1,3.7687000000000026,1
98,Benzquinamide,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,36.0,-0.249877473,0,"5,8,13,14,16",404.5070000000002,6,0,2.423,1
99,Benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CN(CSCc1ccccc1)S2(=O)=O,25.0,-0.477121255,0,"5,8,13,14,16",431.94800000000015,6,1,2.5424000000000007,1
100,Benztropine,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,29.0,-0.388860351,0,"5,8,13,14,16",307.43700000000007,2,0,4.417800000000004,1
101,Benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,87.0,0.8255759,1,"5,8,13,14,16",309.413,4,0,3.4151000000000016,1
102,Bepridil,CC(C)COCC(CN1CCCC1)N(Cc1ccccc1)c1ccccc1,61.0,0.194265228,1,"5,8,13,14,15,16",366.549,3,0,4.830200000000005,1
103,Beta-carotene,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,25.0,-0.477121255,0,"15,16",536.8880000000003,0,0,12.605799999999977,0
104,Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,85.0,0.753327667,1,"5,8,10,13,14,15,16",307.434,4,2,2.3933999999999997,1
105,Bevantolol,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,57.0,0.1224064,1,"5,8,13,14,16",345.43900000000014,5,2,2.584220000000001,1
106,Bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,99.0,1.995635195,1,"5,8,13,14,16",361.82500000000005,3,2,3.554500000000001,1
107,Bifemelane,CNCCCCOc1ccccc1Cc1ccccc1,13.0,-0.8255759,0,"5,8,13,14,16",269.388,2,1,3.655800000000003,1
108,Biotin,O=C(O)CCCCC1SCC2NC(=O)NC21,99.0,1.995635195,1,"5,8,13,14,16",244.31600000000003,3,3,0.7968000000000001,1
109,Biperiden,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,30.0,-0.367976785,0,"5,8,10,13,14,16",311.46900000000005,2,1,3.9624000000000033,1
110,Bisacodyl,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,15.0,-0.753327667,0,"15,16",361.39700000000005,5,0,4.112400000000003,1
111,Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,90.0,0.954242509,1,"5,8,10,13,14,15,16",325.449,5,2,2.3659,1
112,Bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,50.0,0.0,0,"3,5,8,13,14,15,16",551.6250000000002,10,2,4.203900000000004,0
113,BRETYLIUM,CC[N+](C)(C)Cc1ccccc1Br,23.0,-0.524762889,0,"5,8,13,14,15,16",243.16799999999998,0,0,3.0454000000000017,1
114,Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,84.0,0.720159303,1,"5,8,10,13,14,16",316.15799999999996,3,1,2.6336000000000004,1
115,Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,67.0,0.307560863,1,"5,8,10,13,14,15,16",334.169,3,2,2.889400000000001,1
116,Bromhexine,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,77.5,0.537119184,1,"5,8,13,14,16",376.13600000000025,2,1,4.558300000000004,1
117,Bromocriptine,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,28.0,-0.410174465,0,"3,5,8,12,13,14,15,16",654.6059999999999,6,3,3.192800000000001,0
118,Bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,67.5,0.317420412,1,"5,8,13,14,16",344.2530000000001,4,2,2.1115,1
119,Brompheniramine,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,89.0,0.907997321,1,"5,8,13,14,16",319.246,2,0,3.9277000000000024,1
120,Brotizolam,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,70.0,0.367976785,1,"5,8,13,14,16",393.69700000000006,5,0,4.404120000000002,1
121,Bucindolol,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N,30.0,-0.367976785,0,"5,8,13,14,16",363.4610000000001,4,3,3.3901800000000017,1
122,Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,37.0,-0.231138825,0,"3,5,8,10,13,14,15,16",430.5410000000002,6,2,2.7168000000000014,1
123,Budipine,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,47.0,-0.052178012,0,"5,8,13,14,16",293.4540000000001,1,0,4.867000000000004,1
124,Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,65.0,0.268845312,1,"5,8,10,13,14,16",307.39,5,0,2.7711000000000015,1
125,Bufuralol,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,46.0,-0.069635928,0,"5,8,10,13,14,16",261.36499999999995,3,2,3.4167000000000014,1
126,Bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,90.0,0.954242509,1,"3,5,8,10,12,13,14,15,16",364.42300000000006,5,3,3.036500000000001,1
127,Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0.0,-2.0,0,"10,16",288.43500000000006,2,1,3.8965400000000026,1
128,Buprenorphine,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,28.0,-0.410174465,0,"5,8,13,14,15,16",467.6500000000003,5,2,4.413800000000004,1
129,Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,3.9,-1.391658781,0,"5,8,12,13,14,15,16",385.5120000000001,6,0,2.0881999999999996,1
130,Busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,70.0,0.367976785,1,"3,5,8,12,13,14,16",246.30599999999998,6,0,-0.2809999999999997,1
131,Butalbital,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,85.0,0.753327667,1,"15,16",224.26,3,2,0.9609999999999999,1
132,Butorphanol,Oc1ccc2c(c1)C13CCCCC1(O)C(C2)N(CC1CCC1)CC3,17.0,-0.688629171,0,"5,8,13,14,15,16",327.46800000000013,3,2,3.3656000000000015,1
133,Butylscopolamine,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,1.0,-1.995635195,0,"5,8,13,14,16",360.47400000000005,4,1,2.2329999999999997,1
134,Cabergoline,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,65.0,0.268845312,1,"5,8,13,14,16",451.61500000000024,4,2,3.193900000000001,1
135,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,98.0,1.69019608,1,"3,5,8,10,12,13,14,15,16",194.194,6,0,-1.0293,1
136,Calcipotriol,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O,5.5,-1.235069119,0,"5,8,13,14,16",412.6140000000002,3,3,5.0906000000000065,0
137,Calcitriol,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,61.0,0.194265228,1,"3,5,8,12,13,14,16",416.6460000000002,3,3,5.704700000000008,0
138,Capecitabine,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,99.0,1.995635195,1,"5,8,13,14,16",359.35400000000004,8,3,0.7601999999999995,1
139,Captopril,CC(CS)C(=O)N1CCCC1C(=O)O,69.0,0.347487397,1,"5,8,10,12,13,14,15,16",217.28999999999996,3,2,0.6279000000000001,1
140,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,70.0,0.367976785,1,"3,5,8,12,13,14,15,16",236.274,1,1,3.3872000000000018,1
141,Carbenicillin,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,35.0,-0.268845312,0,"5,8,13,14,15,16",378.4060000000001,5,3,0.4864999999999999,1
