"SMILES","CASRN","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","Bioavailability","Dataset","Administration route","INCHI_KEY"
"C=1C=C2OCC(OC2=CC1)C=3NCCN3","-","-","AUTO_54","idazoxan","A139796","32379452","-","-","Low","Train","oral","HPMRFMKYPGXPEP-UHFFFAOYSA"
"OC1=CC=2C(CC(N)C(O)=O)=CNC2C=C1","-","-","AUTO_55","oxitriptan","A139796","32379452","-","-","High","Train","oral","LDCYZAJDBXYCGN-VIFPVBQESA"
"N12CC(C3=CC=CC=C3)N=C1SCC2","-","-","AUTO_56","Levamisole","A139796","32379452","-","-","High","Train","oral","HLFSDGLLUJUHTE-UHFFFAOYSA"
"C1(=CN(C(NC1=O)=O)C2OC(C(C2)O)CO)C=CBr","-","-","AUTO_57","Brivudine","A139796","32379452","-","-","Low","Train","oral","ODZBBRURCPAEIQ-PIXDULNESA"
"BrC(=C(C1=C(N(C2(OC(C(O[H])(C2(O[H])[H])[H])(C(O[H])([H])[H])[H])[H])C(=O)N(C1=O)[H])[H])[H])[H]","-","-","AUTO_58","Sorivudine","A139796","32379452","-","-","High","Train","oral","GCQYYIHYQMVWLT-HQNLTJAPSA"
"CN1C(CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O","-","-","AUTO_59","POLYTHIAZIDE","A139796","32379452","-","-","High","Train","oral","CYLWJCABXYDINA-UHFFFAOYSA"
"CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N","-","-","AUTO_60","sulfisoxazole","A139796","32379452","-","-","High","Train","oral","NHUHCSRWZMLRLA-UHFFFAOYSA"
"C(C=CC1=CC=CC=C1)(=O)NCCO","-","-","AUTO_61","Idrocilamide","A139796","32379452","-","-","Low","Train","oral","OSCTXCOERRNGLW-VOTSOKGWSA"
"N1(C2=CC(C)=CC=C2)C(=O)OC(CO)C1","-","-","AUTO_62","Toloxatone","A139796","32379452","-","-","High","Train","oral","MXUNKHLAEDCYJL-UHFFFAOYSA"
"N1CC(C=2C(CC1)=CC=C(C2)Cl)C","-","-","AUTO_63","Lorcaserin","A139796","32379452","-","-","High","Train","oral","XTTZERNUQAFMOF-QMMMGPOBSA"
"O.C(C(=O)N)(C(=O)N)(CC)C1=CC=CC=C1","-","-","AUTO_64","Phenylethylmalonamide hydrate","A139796","32379452","-","-","High","Train","oral","FZSBWHZDTUPYRX-UHFFFAOYSA"
"O=C(OCC(COC(=O)N)C=1C=CC=CC1)N","-","-","AUTO_65","Felbamate","A139796","32379452","-","-","High","Train","oral","WKGXYQFOCVYPAC-UHFFFAOYSA"
"S1C=CC=C1C=CC2=NCCCN2C","-","-","AUTO_66","PYRANTEL","A139796","32379452","-","-","High","Train","oral","YSAUAVHXTIETRK-AATRIKPKSA"
"O1C(OC(C1([H])[H])([H])[H])(C(N2C3=C(N(C(=O)N(C3=O)C([H])([H])[H])C([H])([H])[H])N=C2[H])([H])[H])[H]","-","-","AUTO_67","Doxofylline","A139796","32379452","-","-","High","Train","oral","HWXIGFIVGWUZAO-UHFFFAOYSA"
"C1(C(NC(C=2C3=C(NC2)C(NC=N3)=O)C1O)CO)O","-","-","AUTO_68","Forodesine","A139796","32379452","-","-","Low","Train","oral","IWKXDMQDITUYRK-KUBHLMPHSA"
"O=C1N=C(N)NC2=C1N=CN2C3C(CO)C(CO)C3","-","-","AUTO_69","Lobucavir","A139796","32379452","-","-","Low","Train","oral","GWFOVSGRNGAGDL-FSDSQADBSA"
"N1=C(N=C(OC)C2=C1N(C3OC(C(C3O)O)CO)C=N2)N","-","-","AUTO_70","Nelarabine","A139796","32379452","-","-","Low","Train","oral","IXOXBSCIXZEQEQ-KQYNXXCUSA"
"O=C(OCC(O)COC1=C(OC)C=CC=C1)N","-","-","AUTO_71","Methocarbamol","A139796","32379452","-","-","Low","Train","oral","GNXFOGHNGIVQEH-UHFFFAOYSA"
"ClC1=C(C(=C(N(C(=NC(=NC(C([H])([H])[H])(C([H])([H])[H])[H])N([H])[H])N([H])[H])[H])C(=C1[H])[H])[H])[H]","-","-","AUTO_72","Proguanil","A139796","32379452","-","-","High","Train","oral","SSOLNOMRVKKSON-UHFFFAOYSA"
"C=1(NC(C(C)N)=O)C(=CC=CC1C)C","-","-","AUTO_73","Tocainide","A139796","32379452","-","-","High","Train","oral","BUJAGSGYPOAWEI-UHFFFAOYSA"
"CCC1C(CC2=CN=CN2C)COC1=O","-","-","AUTO_74","Pilocarpine","A139796","32379452","-","-","High","Train","oral","QCHFTSOMWOSFHM-WPRPVWTQSA"
"OCC1OC(CC1O)N2C=NC3=C2N=CNCC3O","-","-","AUTO_75","Pentostatin","A139796","32379452","-","-","Low","Train","oral","FPVKHBSQESCIEP-HXFLIBJXSA"
"C=1(C=CC=CC1Br)C[N+](C)(CC)C","-","-","AUTO_76","Bretylium","A139796","32379452","-","-","Low","Train","oral","AAQOQKQBGPPFNS-UHFFFAOYSA"
"NC(C)COC1=C(C)C=CC=C1C","-","-","AUTO_77","Mexiletine","A139796","32379452","-","-","High","Train","oral","VLPIATFUUWWMKC-UHFFFAOYSA"
"OC1=C(O)C=C(C(O)CNC(C)C)C=C1","-","-","AUTO_78","isoproterenol","A139796","32379452","-","-","Low","Train","oral","JWZZKOKVBUJMES-UHFFFAOYSA"
"OC=1C=C(O)C=C(C1)C(O)CNC(C)C","-","-","AUTO_79","ORCIPRENALINE","A139796","32379452","-","-","Low","Train","oral","LMOINURANNBYCM-UHFFFAOYSA"
"CCCC(C1(C(NC(NC1=O)=O)=O)CC)C","-","-","AUTO_80","pentobarbital","A139796","32379452","-","-","High","Train","oral","WEXRUCMBJFQVBZ-UHFFFAOYSA"
"CN(C)CC1=CC=C(CSCCNC(NC)=CN(=O)=O)O1","-","-","AUTO_81","Ranitidine","A139796","32379452","-","-","High","Train","oral","VMXUWOKSQNHOCA-UKTHLTGXSA"
"CCCC1CC(=O)N(C1)C(CC)C(=O)N","-","-","AUTO_82","Brivaracetam","A139796","32379452","-","-","High","Train","oral","MSYKRHVOOPPJKU-BDAKNGLRSA"
"C1C2CCC1C(C)(C)C2(NC)C","-","-","AUTO_83","Mecamylamine","A139796","32379452","-","-","High","Train","oral","IMYZQPCYWPFTAG-UHFFFAOYSA"
"CC(=O)NC1=C(I)C(NC(C)=O)=C(I)C(C(O)=O)=C1I","-","-","AUTO_84","DIATRIZOATE","A139796","32379452","-","-","Low","Train","oral","YVPYQUNUQOZFHG-UHFFFAOYSA"
"O=C1C=2C(C=CC1=NNC(=O)N)=CC=CC2","-","-","AUTO_85","Naftazone","A139796","32379452","-","-","High","Train","oral","TZGBBMBARSFJBG-UKTHLTGXSA"
"FC(F)(F)C=1C=C(N2C(=O)C(NC2=O)(C)C)C=CC1[N+]([O-])=O","-","-","AUTO_86","Nilutamide","A139796","32379452","-","-","High","Train","oral","XWXYUMMDTVBTOU-UHFFFAOYSA"
"C1OC2=CC=3C(=O)C(C(=O)O)=NN(CC)C3C=C2O1","-","-","AUTO_87","Cinoxacin","A139796","32379452","-","-","High","Train","oral","VDUWPHTZYNWKRN-UHFFFAOYSA"
"S(c1cc(c(NCc2occc2)cc1Cl)C(=O)O)(=O)(=O)N","-","-","AUTO_88","Furosemide","A139796","32379452","-","-","High","Train","oral","ZZUFCTLCJUWOSV-UHFFFAOYSA"
"C12=C(N=C(N=C1O)N)C(CC3=CN=CC=C3)=CN2","-","-","AUTO_89","PELDESINE","A139796","32379452","-","-","Low","Train","oral","DOHVAKFYAHLCJP-UHFFFAOYSA"
"C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N","-","-","AUTO_90","dapsone","A139796","32379452","-","-","High","Train","oral","MQJKPEGWNLWLTK-UHFFFAOYSA"
"C1=CC(SC)=CC=C1C(=O)C2=C(C)NC(=O)N2","-","-","AUTO_91","Enoximone","A139796","32379452","-","-","High","Train","oral","ZJKNESGOIKRXQY-UHFFFAOYSA"
"C1(C(C(=O)NC(N1)=O)(C=2C=CC=CC2)CC)=O","-","-","AUTO_92","Phenobarbital","A139796","32379452","-","-","High","Train","oral","DDBREPKUVSBGFI-UHFFFAOYSA"
"CCN1C=C(C(C2=C1N=C(C)C=C2)=O)C(O)=O","-","-","AUTO_93","nalidixic acid","A139796","32379452","-","-","High","Train","oral","MHWLWQUZZRMNGJ-UHFFFAOYSA"
"C=1C=CC=CC1CNC(=O)CN2C(N(=O)=O)=NC=C2","-","-","AUTO_94","benznidazole","A139796","32379452","-","-","High","Train","oral","CULUWZNBISUWAS-UHFFFAOYSA"
"C1(N(C2=C(Cl)C=CC=C2Cl)CC=C)=NCCN1","-","-","AUTO_95","Alinidine","A139796","32379452","-","-","High","Train","oral","OXTYVEUAQHPPMV-UHFFFAOYSA"
"CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl","-","-","AUTO_96","Pyrimethamine","A139796","32379452","-","-","High","Train","oral","WKSAUQYGYAYLPV-UHFFFAOYSA"
"N(C1CCC=2C1=CC=CC2)CC#C","-","-","AUTO_97","rasagiline","A139796","32379452","-","-","Low","Train","oral","RUOKEQAAGRXIBM-GFCCVEGCSA"
"NC1=C2N=C(C3=CC=CC=C3)C(N)=NC2=NC(N)=N1","-","-","AUTO_98","Triamterene","A139796","32379452","-","-","High","Train","oral","FNYLWPVRPXGIIP-UHFFFAOYSA"
"O=C1N(CCC1)C(=O)C2=CC=C(OC)C=C2","-","-","AUTO_99","aniracetam","A139796","32379452","-","-","Low","Train","oral","ZXNRTKGTQJPIJK-UHFFFAOYSA"
"N1(C(CC(C1)C2=CC=CC=C2)=O)CC(=O)N","-","-","AUTO_100","phenylpiracetam","A139796","32379452","-","-","High","Train","oral","LYONXVJRBWWGQO-UHFFFAOYSA"
"C1=CC(N)=CC=C1S(=O)(=O)NC2=C(OC)C(OC)=NC=N2","-","-","AUTO_101","SULFADOXINE","A139796","32379452","-","-","High","Train","oral","PJSFRIWCGOHTNF-UHFFFAOYSA"
"S(=O)(=O)(N(C=1N=C(OC([H])([H])[H])N=C(OC([H])([H])[H])C1[H])[H])C2=C(C(=C(N([H])[H])C(=C2[H])[H])[H])[H]","-","-","AUTO_102","sulfadimethoxine","A139796","32379452","-","-","High","Train","oral","ZZORFUFYDOWNEF-UHFFFAOYSA"
"ClC=1C=CC(OC(C)(C)C(OCC)=O)=CC1","-","-","AUTO_103","Clofibrate","A139796","32379452","-","-","High","Train","oral","KNHUKKLJHYUCFP-UHFFFAOYSA"
"N1CC2(C(C2)C1)C3=CC=C(C=C3)C","-","-","AUTO_104","BICIFADINE","A139796","32379452","-","-","High","Train","oral","OFYVIGTWSQPCLF-UHFFFAOYSA"
"S(C1=C(C=2N(C(=NC2C(=C1[H])[H])N(C(OC([H])([H])[H])=O)[H])[H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H]","-","-","AUTO_105","Albendazole","A139796","32379452","-","-","Low","Train","oral","HXHWSAZORRCQMX-UHFFFAOYSA"
"N1=CN(C=2N=C(NC(C12)=O)N)C3C(C(C(C3)O)CO)=C","-","-","AUTO_106","Entecavir","A139796","32379452","-","-","High","Train","oral","QDGZDCVAUDNJFG-FXQIFTODSA"
"S1C2N(C(=O)C2C(O)C)C(=C1C3OCCC3)C(O)=O","-","-","AUTO_107","faropenem","A139796","32379452","-","-","Low","Train","oral","HGGAKXAHAYOLDJ-FHZUQPTBSA"
"CC(NCC)CC1=CC=CC(C(F)(F)F)=C1","-","-","AUTO_108","fenfluramine","A139796","32379452","-","-","High","Train","oral","DBGIVFWFUFKIQN-UHFFFAOYSA"
"C1CN(CCN1)C2=CC=CC3=C2OCCO3","-","-","AUTO_109","ELTOPRAZINE","A139796","32379452","-","-","High","Train","oral","WVLHGCRWEHCIOT-UHFFFAOYSA"
"CN1C(=O)NC(=O)C(C)(C1=O)C2=CCCCC2","-","-","AUTO_110","Hexobarbital","A139796","32379452","-","-","High","Train","oral","UYXAWHWODHRRMR-LBPRGKRZSA"
"ClC1=CC=2NC(CC3CCCC3)NS(=O)(=O)C2C=C1S(=O)(=O)N","-","-","AUTO_111","cyclopenthiazide","A139796","32379452","-","-","High","Train","oral","BKYKPTRYDKTTJY-UHFFFAOYSA"
"S(C=1CC2N(C(=O)C2C(O)C)C1C(O)=O)CCN=CN","-","-","AUTO_112","Imipenem","A139796","32379452","-","-","Low","Train","oral","ZSKVGTPCRGIANV-ZXFLCMHBSA"
"S1C(=C([N+](CC=2C(=NC(=NC2)C)N)=C1)C)CCO","-","-","AUTO_113","Thiamine","A139796","32379452","-","-","Low","Train","oral","JZRWCGZRTZMZEH-UHFFFAOYSA"
"C(NCC(C=1C=C(C(N)=C(C1)Cl)Cl)O)(C)(C)C","-","-","AUTO_114","clenbuterol","A139796","32379452","-","-","High","Train","oral","STJMRWALKKWQGH-UHFFFAOYSA"
"ClC=1C=CC=CC1C(O)CNC(C)(C)C","-","-","AUTO_115","Tulobuterol","A139796","32379452","-","-","Low","Train","oral","YREYLAVBNPACJM-UHFFFAOYSA"
"C1(C(C(=O)NC(N1)=O)(C(CCC)C)CC=C)=O","-","-","AUTO_116","Secobarbital","A139796","32379452","-","-","High","Train","oral","KQPKPCNLIDLUMF-MRVPVSSYSA"
"O=C(NS(C=1C=CC(C)=CC1)(=O)=O)NCCCC","-","-","AUTO_117","tolbutamide","A139796","32379452","-","-","High","Train","oral","JLRGJRBPOGGCBT-UHFFFAOYSA"
"NCC(=O)NCC(O)C1=C(OC)C=CC(OC)=C1","-","-","AUTO_118","Midodrine","A139796","32379452","-","-","High","Train","oral","PTKSEFOSCHHMPD-UHFFFAOYSA"
"CC(C1=CC=CC(C(C)C)=C1O)C","-","-","AUTO_119","Propofol","A139796","32379452","-","-","Low","Train","oral","OLBCVFGFOZPWHH-UHFFFAOYSA"
"ClC1C(O)C(O)C(OC2(OC(C(O)C2O)CCl)CCl)OC1CO","-","-","AUTO_120","Sucralose","A139796","32379452","-","-","High","Train","oral","BAQAVOSOZGMPRM-QBMZZYIRSA"
"C=1(C=C(C=CC1)[N+](C)(C)C)OC(N(C)C)=O","-","-","AUTO_121","neostigmine","A139796","32379452","-","-","Low","Train","oral","ALWKGYPQUAPLQC-UHFFFAOYSA"
"OC=1C=CC(=CC1)C(O)CNCCCC","-","-","AUTO_122","Bamethan","A139796","32379452","-","-","High","Train","oral","RDUHXGIIUDVSHR-UHFFFAOYSA"
"OC1=CC(O)=CC(C(O)CNC(C)(C)C)=C1","-","-","AUTO_123","Terbutaline","A139796","32379452","-","-","Low","Train","oral","XWTYSIMOBUGWOL-UHFFFAOYSA"
"O(CC(O)CNC(C)C)C1=CC=C(O)C=C1","-","-","AUTO_124","Prenalterol","A139796","32379452","-","-","High","Train","oral","ADUKCCWBEDSMEB-NSHDSACASA"
"C=1(N=C(C(O)=CC1)CO)C(CNC(C)(C)C)O","-","-","AUTO_125","pirbuterol","A139796","32379452","-","-","High","Train","oral","VQDBNKDJNJQRDG-UHFFFAOYSA"
"C=1C(C(NC(C)=O)C(OC1C(=O)O)C(C(CO)O)O)NC(N)=N","-","-","AUTO_126","Zanamivir","A139796","32379452","-","-","Low","Train","oral","ARAIBEBZBOPLMB-UHFFFAOYSA"
"S(C(C(N(C(N(C([H])([H])[H])[H])=C([N+]([O-])=O)[H])[H])([H])[H])([H])[H])C(C=1N=C(SC1[H])C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H]","-","-","AUTO_127","nizatidine","A139796","32379452","-","-","High","Train","oral","SGXXNSQHWDMGGP-IZZDOVSWSA"
"OC(CN(CC)C1=NN=C(NNC(OCC)=O)C=C1)C","-","-","AUTO_128","cadralazine","A139796","32379452","-","-","High","Train","oral","QLTVVOATEHFXLT-UHFFFAOYSA"
"O1C2(C(C3C(OC(O3)(C)C)CO2)OC1(C)C)COS(N)(=O)=O","-","-","AUTO_129","Topiramate","A139796","32379452","-","-","High","Train","oral","KJADKKWYZYXHBB-UHFFFAOYSA"
"O(C1C(OC(C1O)(CO)O)CO)C2OC(C(O)C(C2O)O)CO","-","-","AUTO_130","lactulose","A139796","32379452","-","-","Low","Train","oral","JCQLYHFGKNRPGE-UHFFFAOYSA"
"COc1c2OC(=O)C=Cc2cc3c1occ3","-","-","AUTO_131","methoxsalen","A139796","32379452","-","-","Low","Train","oral","QXKHYNVANLEOEG-UHFFFAOYSA"
"C=1C=C(C=CC1C(F)(F)F)NC(C(=C(C)O)C#N)=O","-","-","AUTO_132","Teriflunomide","A139796","32379452","-","-","Low","Train","oral","UTNUDOFZCWSZMS-YFHOEESVSA"
"S1C(N(C(=O)C=2C(OC(=O)C([H])([H])[H])=C(C(=C(C2[H])[H])[H])[H])[H])=NC(=C1[N+]([O-])=O)[H]","-","-","AUTO_133","NITAZOXANIDE","A139796","32379452","-","-","High","Train","oral","YQNQNVDNTFHQSW-UHFFFAOYSA"
