PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment,Compound QC
40,124878187,3246430,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)N)N,Inactive,,,,Low,2.99,class = 1,QC'ed NCATS
41,124878325,284708,C1=CNC(=C1)C(=O)C2=C(C=CC(=C2)Cl)NC(=O)CN,Active,,,,High,>1000,class = 0,QC'ed NCATS
42,124878343,3246481,C[C@@H](CCC[C@H]1[C@@H]2[C@@H](CS1)NC(=O)N2)C(=O)O,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
43,124878494,3246541,CN1CCC2=CC(=C3C4=C2[C@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@H]7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC,Active,,,,High,217.23,class = 0,QC'ed NCATS
44,124878556,67532,C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N,Inactive,,,,Low,3.64,class = 1,QC'ed NCATS
45,124879938,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
46,124880005,9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Active,,,,High,481.96,class = 0,QC'ed NCATS
47,144203688,53708,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,Active,,,,Moderate,28.72,class = 1,QC'ed NCATS
48,124880090,3343,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,Inactive,,,,Low,1.9,class = 1,QC'ed NCATS
49,174006272,53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,,,,Moderate,68.33,class = 1,QC'ed NCATS
50,124880226,5034,C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2,Active,,,,High,150.28,class = 0,QC'ed NCATS
51,162108258,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
52,174007199,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Inactive,,,,Low,1.46,class = 1,QC'ed NCATS
53,124880867,262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,Active,,,,High,107.82,class = 0,QC'ed NCATS
54,384567886,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
55,124881727,5353685,COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)I)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
56,124882297,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Active,,,,High,120.05,class = 0,QC'ed NCATS
57,174007187,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Active,,,,High,281.8,class = 0,QC'ed NCATS
58,124882688,180081,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,Active,,,,High,>1000,class = 0,QC'ed NCATS
59,174007367,24360,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,Active,,,,Moderate,68.31,class = 1,QC'ed NCATS
60,174007335,4622,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
61,363676526,123664,CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1[C@H](O1)C(=O)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
62,170464684,9681,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,Active,,,,High,396.08,class = 0,QC'ed NCATS
63,170465705,10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
64,174006964,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Inactive,,,,Low,5.39,class = 1,QC'ed NCATS
65,174007360,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Inactive,,,,Low,1.93,class = 1,QC'ed NCATS
66,170466119,219050,C1CN(CC=C1C2=CC=CC=C2)CCCCC3=CNC4=C3C=C(C=C4)O,Active,,,,High,>1000,class = 0,QC'ed NCATS
67,29215052,6604934,CC1(C2=C(C3=CC=CC=C3C(=O)C2=O)NC1=O)C,Active,,,,Moderate,12.46,class = 1,QC'ed NCATS
68,851848,654450,C1=COC(=C1)CNC(=O)C2=NN3C(=CC(=NC3=N2)C4=CC=CS4)C(F)(F)F,Active,,,,High,256.84,class = 0,QC'ed NCATS
69,849279,651756,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=C(C=C4)F,Active,,,,Moderate,63,class = 1,QC'ed NCATS
70,3711120,2120761,C1CN(CCN1C2=CC=C(C=C2)O)C(=O)C3=CC4=CC=CC=C4C=C3,Active,,,,High,526.69,class = 0,QC'ed NCATS
71,3716014,2120852,C1COCCN1C2=C(C=C(C=C2)C(F)(F)F)NC(=O)C3=NNC(=O)C4=CC=CC=C43,Active,,,,Moderate,53.47,class = 1,QC'ed NCATS
72,3713333,804919,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCC(=O)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
73,3711815,699459,C1=CC=NC(=C1)S(=O)(=O)C2=CC=C(C=C2)Cl,Active,,,,High,407.27,class = 0,QC'ed NCATS
74,4242871,3237670,CCCCCN1C(=O)C2=C(C=C(C=C2)C(=O)NCCCN3CCCCC3)NC1=O,Active,,,,Moderate,27.5,class = 1,QC'ed NCATS
75,4244440,3239035,COC1=CC=C(C=C1)CN2C(=O)C3=C(C=C(C=C3)C(=O)NCCCN4CCCCC4)NC2=O,Active,,,,Moderate,16.8,class = 1,QC'ed NCATS
76,4248909,68261,C1CC2=NC3=CC=CC=C3C(=O)N2C1,Active,,,,Moderate,44.23,class = 1,QC'ed NCATS
77,4249454,3243406,CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CS(=O)CC(=O)N3CCC4(CC3)OCCO4,Active,,,,Moderate,91.69,class = 1,QC'ed NCATS
78,4263674,1305820,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=NN=C(S3)COC4=CC=C(C=C4)Cl,Active,,,,High,246.58,class = 0,QC'ed NCATS
79,4264276,1245328,C1CCN(C1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3F,Active,,,,High,139.01,class = 0,QC'ed NCATS
80,4262483,2958396,C1OC2=C(O1)C=C(C=C2)C3NN4C(=NN=C4S3)C5=CC=CC=C5,Active,,,,High,607.22,class = 0,QC'ed NCATS
81,4265809,1246434,C1CCC(CC1)C2=NN=C(S2)NC(=O)C3=CC=C(S3)Br,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
82,160844012,1079729,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Active,,,,Moderate,35.8,class = 1,QC'ed NCATS
83,863408,664662,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=CC=C4,Active,,,,High,759.89,class = 0,QC'ed NCATS
84,124888780,41368,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
85,4251330,3245031,COCCNC(=O)C1=CC=C(C=C1)CN2C(=O)C3=CC4=C(C=C3NC2=S)OCO4,Active,,,,High,108.36,class = 0,QC'ed NCATS
86,4242178,3237063,CC1=CC=CC=C1C2=NC(=C(O2)C)CN3CCC(CC3)C(=O)NCCCN4CCOCC4,Active,,,,High,432.42,class = 0,QC'ed NCATS
87,104222051,790407,C1=CC(=CN=C1)NC(=O)C2=CC=CS2,Active,,,,Moderate,56.54,class = 1,QC'ed NCATS
88,857789,6603237,CCCC1=C(C(=N)C2=CC=CC=C2N1C)CC.I,Inactive,,,,Low,6.67,class = 1,QC'ed NCATS
89,170466480,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,Inactive,,,,Low,1,class = 1,QC'ed NCATS
90,24271784,3237082,CC1=CC=CC=C1NC(=O)NC2=CC=CS2,Active,,,,High,105.65,class = 0,QC'ed NCATS
91,174006343,2909,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
92,124891675,5289419,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3,Active,,,,High,219.78,class = 0,QC'ed NCATS
93,170466586,4059,CC1=CC=CC=C1OCC(CO)O,Active,,,,Moderate,44.42,class = 1,QC'ed NCATS
94,170466739,135398638,C1=NC2=C(N1)C(=O)NC=N2,Inactive,,,,Low,1,class = 1,QC'ed NCATS
95,24271998,1100832,C1=CC=C(C=C1)C2=NC3=CC(=NN3C(=C2)C(F)(F)F)C(=O)NC4=CC=CC(=C4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
96,24272444,5721447,C1=CC=C2C(=C1)NC(=N2)/C(=C/C3=CC=C(O3)C4=CC=C(C=C4)C(=O)O)/C#N,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
97,24273072,5175738,C1=CSC(=C1)C2=NC3=C(C(=C2)C(F)(F)F)C(=C(S3)C(=O)NC4=CC=C(C=C4)F)N,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
98,24273085,15991160,C1=CC(=CC(=C1)Cl)C2=CC=C(O2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CN=CC=C5,Active,,,,High,310.12,class = 0,QC'ed NCATS
99,24273117,721046,CC1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)NC4=CC=CC(=C4)C(=O)O,Active,,,,Moderate,13.19,class = 1,QC'ed NCATS
100,377707994,699254,C1=CC=C(C(=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CC=NC=C4)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
101,24274229,3697282,COC1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
102,24274235,3417885,C1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)NS(=O)(=O)C4=CC=CC=C4)C5=CC=C(C=C5)Cl,Inactive,,,,Low,9.09,class = 1,QC'ed NCATS
103,24274428,6407314,CC(=O)NC1=CC=C(C=C1)NC2=NN=C(C3=CC=CC=C32)C4=CC=C(C=C4)OCC#C,Active,,,,High,501.59,class = 0,QC'ed NCATS
104,24274719,3571741,CC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)NCC4=CN(N=C4)C,Active,,,,Moderate,24.2,class = 1,QC'ed NCATS
105,24275023,2947897,CC1=NN=C(S1)N2C(C3=C(C2=O)OC4=CC=CC=C4C3=O)C5=CC=C(C=C5)F,Active,,,,High,313.86,class = 0,QC'ed NCATS
106,24275635,15991372,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN(C)C)C4=CC=C(C=C4)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
107,24276087,2983992,C1=CC(=C(C=C1C#N)F)C(=O)NC2=CC(=C(C=C2)Cl)C3=NC4=C(O3)C=CC(=C4)Cl,Inactive,,,,Low,1,class = 1,QC'ed NCATS
108,24276115,2982228,CC1=CC2=C(C=C1)N=C(O2)C3=C(C=CC(=C3)NC(=O)C4=CC5=C(C=C4)OCCO5)Cl,Active,,,,High,144.17,class = 0,QC'ed NCATS
109,24276283,15991500,CC1=NC2=C(C(=NN2C(=C1)C3=CC=C(C=C3)OC)C)C4=CC(=C(C=C4)OC)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
110,24276730,15991524,COC1=C(C=C(C=C1)C2=NC3=CC=CC=C3S2)NC(=O)C4=CC=C(C=C4)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
111,24268731,15988552,CC1(CC2=C(C=C(C(=O)N2C3=C(C=CC(=C3)OC)OC)C4=NC(=CS4)C5=CC=C(C=C5)Cl)C(=O)C1)C,Active,,,,High,216.35,class = 0,QC'ed NCATS
112,24270640,15990026,CC1=NN=C2N1C(=NC3=CC=CC=C32)N4CCN(CC4)C5=CC=CC=C5,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
113,24270850,15990222,CC1=C(C(=O)N2C=CSC2=N1)S(=O)(=O)NC3=CC=C(C=C3)N4CCN(CC4)S(=O)(=O)C,Active,,,,High,209.13,class = 0,QC'ed NCATS
114,24271060,15990397,CN1C2=CC=CC=C2N=C(C1=O)C(=O)NC3=CC(=C(C(=C3)OC)OC)OC,Active,,,,High,144.97,class = 0,QC'ed NCATS
115,24271589,15990859,CCOC1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)Br,Active,,,,High,926.29,class = 0,QC'ed NCATS
116,24271699,15990960,CC(C)C1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2C(=O)N(C3)C4=CC=C(C=C4)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
117,24386250,2151568,COC1=CC=C(C=C1)C2=NC3=C(CC4=CC=CC=C4O3)C(=N2)SCC(=O)NC5=CC=C(C=C5)C(=O)O,Inactive,,,,Low,1.18,class = 1,QC'ed NCATS
118,24387037,16010509,CC(=O)N1CCC2=C(C1)SC3=C2C(=O)N(C(=O)N3CC(=O)C4=CC=CC=C4)C5=CC=CC=C5,Active,,,,High,713.66,class = 0,QC'ed NCATS
119,24389898,1243964,CN1C2=C(C=C(C=C2)NC(=O)C3=CC(=CC=C3)Br)N=C1CN4CCCCC4,Active,,,,High,>1000,class = 0,QC'ed NCATS
120,24391343,929965,CC1=CC=C(C=C1)C(=O)NC2=NC3=NC(=CC(=O)N3N2)C4=CC=CC=C4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
121,24391620,930029,CC1=CC=C(C=C1)C(=O)NC2=NC3=NC(=CC(=O)N3N2)C,Inactive,,,,Low,1,class = 1,QC'ed NCATS
122,24392740,16015034,CCOC(=O)N1CCN(CC1)CC2=NC3=C(N2C(C)C)C=CC(=C3)NC(=O)CC(C)C,Active,,,,High,612.67,class = 0,QC'ed NCATS
123,24395522,16017615,COC1=CC=CC(=C1)C(=O)NC2=NN=C(S2)S(=O)(=O)N3CCOCC3,Active,,,,Moderate,19.19,class = 1,QC'ed NCATS
124,24395768,16017831,CN1C=C(C=C1C(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)S(=O)(=O)N3CCOCC3,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
125,24395790,16017851,CC1=NN=C2N1C3=CC=CC=C3N=C2NC4=CC(=CC=C4)NC(=O)C,Active,,,,High,265.61,class = 0,QC'ed NCATS
126,24396121,16018174,CCN(CC)CCCNC(=O)C1=C(C2=C(O1)CCC3=CN(N=C32)CC4=CC=C(C=C4)Cl)C,Active,,,,High,>1000,class = 0,QC'ed NCATS
127,24396266,16018319,CCN(CC)CCCNC(=O)C1=CC2=C(C=C1)N3C=C(N=C3S2)C4=CC=C(C=C4)OCC,Active,,,,High,>1000,class = 0,QC'ed NCATS
128,24398907,16020562,CCN(CC)CCNC(=O)C1CCN(CC1)C2=NN3C=C(N=C3S2)C4=CC=C(C=C4)F,Active,,,,High,>1000,class = 0,QC'ed NCATS
129,24399781,16021425,CC1=CC(=CC=C1)OCC(=O)NC2=CC3=C(C=C2)N=C(C=C3C)NC4=CC(=CC=C4)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
130,24401072,16022683,CC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)OC)C(=O)O)CNCC4=CC=CO4,Active,,,,High,653.67,class = 0,QC'ed NCATS
131,24401952,16023553,COCCNC1=C2C(=NOC2=NC=N1)C3=CC=C(C=C3)F,Active,,,,High,458.15,class = 0,QC'ed NCATS
132,24402926,16024507,CC1=NN(C2=C1C(=CC(=N2)C3CC3)C(=O)NC4=CC=C(C=C4)F)C5=CC=CC=C5,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
133,24404118,16025678,CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC(=O)NN3C(=N2)SCCCOC4=CC=CC=C4,Active,,,,Moderate,10.1,class = 1,QC'ed NCATS
134,24404134,16025693,CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)OC,Active,,,,High,382.73,class = 0,QC'ed NCATS
135,24404393,16025942,CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)Cl,Active,,,,High,705.62,class = 0,QC'ed NCATS
136,124892066,135410503,CC1=C(C(N2C(=NC=N2)N1)C3=CC=CN3)C(=O)NC4=CC=CC=C4,Active,,,,Moderate,80,class = 1,QC'ed NCATS
137,377677992,16029337,CCN(CCN(C)C)C(=O)C1CCN(CC1)S(=O)(=O)C2=C(ON=C2C)/C=C/C3=CC=CC=C3F,Active,,,,High,>1000,class = 0,QC'ed NCATS
138,24409549,135410529,CCS(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=CC(=C(C=C2)C3=NC4=CC=CC=C4S3)O,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
139,24410318,16031361,COC1=CC=C(C=C1)CNC(=O)CN2C(=O)C=C3CCCCC3=N2,Active,,,,Moderate,40.62,class = 1,QC'ed NCATS
140,24411547,4705986,CN(C)CCCN1C(C2=C(C1=O)OC3=C(C2=O)C=C(C=C3)Cl)C4=CC(=C(C=C4)OC)OC,Active,,,,High,235.42,class = 0,QC'ed NCATS
141,24412961,16033099,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)F)C(=O)O,Active,,,,High,156.18,class = 0,QC'ed NCATS
142,24412993,16033131,CC1=CC(=CC=C1)C(=O)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCCCC4)C(=O)O,Inactive,,,,Low,5.2,class = 1,QC'ed NCATS
143,24412997,16033135,C1CCN(CC1)C2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)Br)C(=O)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
144,24413059,16033196,CCCCNC(=O)CN1CCN(CC1)C2=C(C=C(C=N2)NC(=O)C3=CC=C(C=C3)Cl)C(=O)O,Inactive,,,,Low,1,class = 1,QC'ed NCATS
145,24414349,7205529,CC1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)NC4=CC(=C(C=C4)OC)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
146,124892067,4190676,CCOC(=O)N1CCC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)OC)NCC4=CC=C(C=C4)N(C)C,Active,,,,Moderate,58.54,class = 1,QC'ed NCATS
