Solubility_log(mol/L),SMILES
-9.1442341106,Clc1c(Cl)c(Br)c2c(c1Cl)C1=Nc3c4c(Cl)c(Br)c(Cl)c(Br)c4c4n3[Cu]n3c(c5c(Cl)c(Br)c(Cl)c(Br)c5c3=NC3=NC(=N4)c4c(Cl)c(Cl)c(Br)c(Cl)c43)=NC2=N1
-9.1359660934,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
-9.1299878036,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
-9.129966133,CC(C(C)(C)C)C(C)(C)SSSC(C)(C)C(C)C(C)(C)C
-9.12,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-9.1,Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc(Cl)c1Cl
-9.1,Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl
-9.1,Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl
-9.1,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-9.1,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
-9.1,Clc1cc(Cl)cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
-9.1,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl
-9.0983152748,[Bi+3].[Bi+3].[S-2].[S-2].[S-2]
-9.09,Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl
-9.052340862,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C.COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl.COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(C)cc4C)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl
-9.05,Clc1cc(Cl)c(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
-9.039324078,Clc1cc(Cl)c2c(c1Cl)C1=NC2N=C2c3c(Cl)c(Cl)c(Cl)c(Cl)c3C3N=C4N=C(N=c5c6c(Cl)c(Cl)c(Cl)c(Cl)c6c(n5[Cu]N23)=N1)c1c(Cl)c(Cl)c(Cl)c(Cl)c14
-9.0265,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
-9.0249738719,C1CO[Sb]2OCCO[Sb](O1)OCCO2
-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
-9.0027,Clc1cc(Cl)c2c(c1)Oc1c(Cl)cc(Cl)cc1O2
-8.9978390846,CCCCCCCCCCCCCCCCCC(=O)OC
-8.9896322186,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1
-8.983050454099999,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC
-8.972710915599999,O=[Cr]O[Cr]=O.O=[Fe]O[Fe]=O.O=[Mn]O[Mn]=O
-8.9706,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
-8.94,Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
-8.94,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
-8.94,Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1
-8.9260164319,COc1ccccc1N/N=C1\C(=O)C=Cc2ccccc21
-8.9148440789,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1C
-8.9,C=CCN(CCC#N)c1cc(NC(C)=O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC
-8.9,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
-8.89,Clc1cc(Oc2c(Cl)ccc(Cl)c2Cl)c(Cl)c(Cl)c1Cl
-8.8809,CCCCN(CCOC(C)=O)c1ccc(N=Nc2c(C#N)cc([N+](=O)[O-])cc2C#N)c(C)c1
-8.8744,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2
-8.85998044,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
-8.8498,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl
-8.848512616699999,CC(C)(C)c1ccc(OC(=O)c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c(C2C(=O)Oc3ccc(C(C)(C)C)cc32)c1
-8.8336,CCOc1cc(N=Nc2cc([N+](=O)[O-])cc([N+](=O)[O-])c2Br)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O
-8.83,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
-8.828369840499999,O=[Sn]
-8.8172722155,[Au]
-8.8106451034,O=c1c2ccccc2c(=O)c2c1ccc1c3ccc4c(=O)c5c(ccc6c7ccc8c(=O)c9ccccc9c(=O)c8c7[nH]c65)c(=O)c4c3[nH]c12
-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
-8.797313426799999,CCCCC(CC)CNS(=O)(=O)c1ccc(N=Nc2c(C)c(C#N)c(=O)n(CCCC)c2O)cc1
-8.782716219400001,CC1=C(C#N)C(=O)N(C)C(=O)/C1=N\Nc1cccc(OS(=O)(=O)c2ccccc2)c1
-8.78,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-8.78,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
-8.775,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl
-8.77,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2
-8.7655314659,CCCCC(CC)C(=O)O.CCCCCCCC(=O)O.CCCCCCCCC(=O)O.OCC(CO)(CO)CO
-8.76,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C
-8.755372465299999,CCCCCCCCCCCCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C
-8.754650095399999,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC
-8.7448595438,[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
-8.7211960386,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(CC)(CO)COC(=O)CCCCCCC/C=C\CCCCCCCC
-8.7202,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl
-8.72,Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2)cc1Cl
-8.71,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1
-8.71,Clc1cc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1
-8.7052973925,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)NN)c(Cl)c2)c(Cl)c1)C(=O)NN
-8.7020121255,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Zr+2]
-8.7,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
-8.699,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
-8.68,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
-8.68,Clc1cc(Cl)c(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1
-8.6679,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
-8.6670954079,CC(C)(C)c1cc(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
-8.65,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1
-8.6470570009,CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
-8.6461429905,O=C1c2c(O)ccc(Nc3ccccc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21
-8.6456,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl
-8.6280505595,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
-8.6167666964,COc1cc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(OC)c2)ccc1N=NC(C(C)=O)C(=O)Nc1ccccc1
-8.6113,CCOc1ccc([Si](C)(C)CCCc2ccc(F)c(Oc3ccccc3)c2)cc1
-8.6036,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-8.6,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1
-8.6,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-8.6,c1ccc2cc3cc4ccccc4cc3cc2c1
-8.5901,Clc1cc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c(Cl)c1Cl
-8.5901,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
-8.5801,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1
-8.5758,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1
-8.57,CCCCCc1c2ccccc2cc2c1ccc1ccccc12
-8.56,CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC
-8.56,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
-8.56,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1
-8.55,Clc1cc(Cl)c(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)c1
-8.55,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1
-8.545917916,CCC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)CC)c1
-8.5404809541,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1.COc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OC)cc4)c(Cl)c3)cc2Cl)C(C)=O)cc1.COc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4)c(Cl)c3)cc2Cl)C(C)=O)cc1
-8.53,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl
-8.5296561698,C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC
-8.5265601286,CCOC(=O)C1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccccc4)N=C3C(=O)OCC)c(Cl)c2)cc1Cl
-8.5234,Cc1c2ccccc2c2ccc3cccc4ccc1c2c43
-8.5224,Cc1cc2cccc3ccc4c5ccccc5cc1c4c32
-8.520248661,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
-8.5104350823,[Bi+3].[O-2].[O-2].[O-2].[O-2].[V]
-8.5058697258,Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2
-8.4989,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
-8.4901,Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1
-8.49,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
-8.49,Clc1cc(Oc2ccc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl
-8.49,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
-8.4806,c1ccc2c(c1)-c1cccc3cc4c(ccc5ccccc54)c-2c13
-8.48,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
-8.48,Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl
-8.4790833317,COc1ccc(C(=O)Nc2ccccc2)cc1N/N=C1\C(=O)C(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)=Cc2ccccc21
-8.4761487948,O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCc1ccccc1)c64)C(=O)N(CCc1ccccc1)C5=O
-8.4746,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
-8.47,Clc1ccc(Oc2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1
-8.4645677849,COc1ccccc1NC(=O)C1=Cc2ccccc2/C(=N\Nc2cc(Cl)ccc2Cl)C1=O
-8.4626870474,CC(=O)C(N=Nc1cc(Cl)c(-c2cc(Cl)c(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C
-8.46,CC(C)CCCC(C)C1CCC2C3CCC4CC(C)(CCC=C(c5cc(Cl)c(O)c(C(=O)O)c5)c5cc(Cl)c(O)c(C(=O)O)c5)CCC4(C)C3CCC12C
-8.46,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
-8.4587601408,CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C
-8.44,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
-8.4318,c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12
-8.4235961938,COc1ccccc1NC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O
-8.4206,Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl
-8.42,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl
-8.42,Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1
-8.41,Clc1cc(Cl)c(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)c1
-8.4059550501,S=[SnH2]
-8.4055410062,C=C(C)C(=O)OCCCCCCCCCCCC
-8.402999999999999,FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1
-8.4024,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br
-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-8.4010988426,[Al+3].[Al+3].[Co+2].[Co+2].[O-2].[O-2].[O-2].[O-2].[O-2]
-8.4007,CCCCCCCCCCCCCCCC
-8.4,CCCCCCCCCCCCCCCC
-8.4,CCCCCCCCCCCCCCCCCCO
-8.4,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1
-8.39,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl
-8.3860948559,CCN(CCOc1ccc(C2CCCCC2)cc1)c1ccc(C=C(C#N)C#N)c(C)c1
-8.3813,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl
-8.3771050883,O=S(=O)(O)c1ccccc1N=C1C=CC(=C(c2ccc(Nc3ccccc3)cc2)c2ccc(Nc3ccccc3)cc2)C=C1
-8.3748,Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1
-8.3631893131,O=S(=O)([O-])c1ccc(O)cc1.[Na+]
-8.3629378574,CC(C)(C)N(Sc1nc2ccccc2s1)Sc1nc2ccccc2s1
-8.36,Cc1cc(Cc2c(Cl)cccc2Cl)c(Cl)cc1Cl
-8.36,Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl
-8.3487503358,CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(CO)(CO)COC(=O)CCCCCCCCCCCCCCCCCCCCC
-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC
-8.3339,CCCCCCCCCCCCCCCCCCCCCCCCCC
-8.3221,CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
-8.32,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
-8.31,Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl
-8.3082430527,COc1ccc(N=NC(C(C)=O)C(=O)Nc2ccccc2OC)c([N+](=O)[O-])c1
-8.3,Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
-8.2900385416,CC(C)(C)CC(C)(C)N(c1ccccc1)c1cccc2ccccc12
-8.2876520693,CCCCCCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
-8.2787650296,O=C(OOC(=O)c1ccc(Cl)cc1Cl)c1ccc(Cl)cc1Cl
-8.2779665867,CC(CCOC(=O)CC(C)CC(C)(C)C)CC(C)(C)C
-8.2716565948,Nc1c(Oc2ccccc2)c(Oc2ccccc2)c(N)c2c1C(=O)c1ccccc1C2=O
-8.2701498682,CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
-8.27,Clc1cc(-c2c(Cl)ccc(Cl)c2Cl)cc(Cl)c1Cl
-8.2698850372,CC1=NN(c2ccc(C)cc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccc(C)cc4)N=C3C)c(Cl)c2)cc1Cl
-8.2696,Clc1cc(Cl)cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
-8.2677435641,Cc1cc(CCC(=O)OCC(C)(C)C2OCC3(CO2)COC(C(C)(C)COC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)OC3)cc(C(C)(C)C)c1O
-8.2650486602,COCCOCCCn1c(=O)c2c(N)c3c(=O)c4ccccc4c(=O)c3c(N)c2c1=O
-8.2605,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-8.2520983426,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1
-8.2501920599,CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCCNCCCN
-8.25,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2)cc1Cl
-8.2496923157,O.[Fe+3].[Fe+3].[O-2].[O-2].[O-2]
-8.2475792783,CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC
-8.2405,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1
-8.2399,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1
-8.2324757883,CCCCCCCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCCCCCCC
-8.23,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
-8.2259,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
-8.2171679788,CNS(=O)(=O)c1cc(OC)c(N/N=C2\C(=O)C(C(=O)Nc3ccc4[nH]c(=O)[nH]c4c3)=Cc3ccccc32)cc1C
