CMPD_CHEMBLID,exp,smiles,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
CHEMBL2179291,3.17,COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1,421.4970000000001,6,1,3.4830200000000016,1
CHEMBL2158823,2.17,O=C(O)c1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,463.4050000000002,4,1,5.451400000000006,0
CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,255.361,2,1,3.7246200000000034,1
CHEMBL1289785,3.93,O=C(CCCc1ccncc1)N1CCN(c2ccc(Cl)cc2Cl)CC1,378.3030000000001,3,0,4.059900000000003,1
CHEMBL1381135,1.9,COc1cnc(-c2ccccn2)nc1N(C)C,230.271,5,0,1.6131999999999997,1
CHEMBL528217,2.27,c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,550.7500000000001,4,2,9.981599999999995,0
CHEMBL2177621,1.2,CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,411.52700000000004,5,2,3.8469000000000024,1
CHEMBL475386,1.14,CNC1=Nc2ncccc2C(c2ncco2)=NC1c1cccs1,323.381,7,1,2.972800000000001,1
CHEMBL2325699,2.6,CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1,424.5260000000001,6,1,3.026200000000001,1
CHEMBL2010845,3.3,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,476.4780000000002,6,0,3.2946000000000017,1
CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.46900000000005,2,0,4.723500000000005,1
CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,501.43200000000036,6,2,3.0310000000000015,0
CHEMBL1796293,2.57,N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,329.359,4,1,3.675580000000002,1
CHEMBL1557436,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,326.42500000000007,5,2,2.8745000000000003,1
CHEMBL2031236,2.06,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,460.5630000000004,8,1,3.154720000000001,1
CHEMBL2087849,4.33,Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,516.0050000000002,9,0,3.8301000000000025,0
CHEMBL1235773,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,461.5910000000003,8,1,3.7487800000000027,1
CHEMBL339051,2.78,CNC(=O)C1(N2CCCCC2=O)CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(C#N)cc3ccccc23)c2ccc(Cl)c(Cl)c2)CC1,678.6610000000001,6,1,5.865880000000007,0
CHEMBL168899,1.4,O=C1Nc2ccccc2B(O)N1c1ccccc1,238.055,2,2,1.4262,1
CHEMBL517,-0.54,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.4830000000001,3,1,3.361900000000002,1
CHEMBL578288,2.91,N#CN=C(N)c1sc(Nc2ccccc2)nc1N,258.31000000000006,6,3,1.65528,1
CHEMBL1778648,-0.4,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@H](C)C(=O)O)c(C)c1,416.41700000000014,4,1,4.3263200000000035,1
CHEMBL1778635,-0.16,N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,339.2440000000001,3,1,3.846580000000001,1
CHEMBL1234354,2.2,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,425.48900000000026,9,2,2.2453200000000004,1
CHEMBL1550278,3.4,CC(Nc1ncnc2ccccc12)c1ccccc1,249.31700000000004,3,1,3.802900000000002,1
CHEMBL1096,1.1,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,298.298,5,2,2.745,1
CHEMBL1807822,2.28,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1,482.6020000000002,7,4,3.737400000000002,1
CHEMBL1310086,3.47,COc1ccccc1Cn1c(C)nc2ccccc21,252.31699999999998,3,0,3.401620000000002,1
CHEMBL373364,3.0,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,490.46200000000016,5,2,5.468300000000004,0
CHEMBL484901,-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O,204.22899999999998,2,3,1.1223000000000003,1
CHEMBL1233652,1.95,O=C(O)CCC[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1,380.4190000000001,2,3,4.000200000000002,1
CHEMBL2059196,-0.99,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,444.3730000000001,6,3,3.277300000000001,1
CHEMBL1934414,2.0,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,446.6170000000003,5,2,4.580240000000004,1
CHEMBL1415894,3.8,c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1,250.30500000000004,3,3,3.8969000000000014,1
CHEMBL2335875,3.21,COCCNC(=O)c1cccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)c1,399.4540000000001,6,2,3.811600000000002,1
CHEMBL1916269,0.36,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1,364.4710000000002,5,2,2.4477199999999995,1
CHEMBL1224139,2.14,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,354.425,3,1,3.4990000000000023,1
CHEMBL1082812,1.71,N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O,333.41599999999994,4,1,3.6433800000000023,1
CHEMBL12980,1.19,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,337.41900000000004,4,1,2.5599,1
CHEMBL1412343,2.7,Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1,388.308,4,1,3.621520000000002,1
CHEMBL453862,2.77,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C,382.4430000000001,6,1,3.813920000000003,1
CHEMBL296572,3.8,COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,250.30100000000002,2,1,3.7523000000000017,1
CHEMBL239513,2.87,O=C(COc1ccccc1)c1ccccc1,212.248,2,0,2.9483000000000015,1
CHEMBL479445,1.91,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,415.4440000000002,6,3,3.337600000000002,1
CHEMBL2152917,3.4,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1,369.5090000000001,5,1,3.8374000000000024,1
CHEMBL299672,3.13,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,430.9110000000004,6,1,5.039200000000005,0
CHEMBL1682820,3.0,O=C1CCOc2cc(COc3ccccc3)ccc21,254.28500000000003,3,0,3.230800000000002,1
CHEMBL247367,2.33,Clc1cccc2cn[nH]c12,152.58399999999997,1,1,2.2162999999999995,1
CHEMBL2010834,2.8,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,447.5010000000001,3,1,3.730500000000003,1
CHEMBL1945293,-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,417.53100000000006,7,5,1.8968999999999998,1
CHEMBL1652588,3.16,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,499.9620000000003,9,0,3.053300000000001,1
CHEMBL190812,2.91,C[C@H](NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1,318.376,3,1,4.364900000000003,1
CHEMBL235392,1.55,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,444.0190000000001,4,2,3.458800000000002,1
CHEMBL62193,0.2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,310.3350000000001,7,2,0.8768,1
CHEMBL1784338,1.43,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,439.5780000000004,6,1,2.0696399999999997,1
CHEMBL1650698,2.47,C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1,358.35600000000005,7,3,3.0620000000000003,1
CHEMBL2062583,2.48,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,429.4840000000002,8,3,3.1377800000000016,1
CHEMBL4,-0.45,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37300000000005,6,1,1.5439999999999998,1
CHEMBL2158534,2.0,CC1(c2nc(N3CCOCC3)ncc2C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)CC1,412.53400000000033,6,2,2.034099999999999,1
CHEMBL492234,2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1,392.45800000000014,7,1,2.49582,1
CHEMBL131921,3.5,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,284.267,5,2,2.8798000000000012,1
CHEMBL21731,0.89,CNCCCC12CCC(c3ccccc31)c1ccccc12,277.41100000000006,1,1,4.211400000000004,1
CHEMBL346528,1.3,Oc1cc(-c2ccccc2)nc2ccnn12,211.224,4,1,2.101899999999999,1
CHEMBL133501,2.01,O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,405.3570000000002,6,0,2.602500000000001,1
CHEMBL2087854,3.59,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,513.9890000000003,9,0,3.614300000000002,0
CHEMBL1689126,0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1,416.9050000000002,4,1,3.078800000000002,1
CHEMBL1650728,2.6,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,409.223,8,3,2.8166,1
CHEMBL2178942,1.3,Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(F)c2)nc1C(N)=O,385.4390000000001,4,2,3.7469400000000013,1
CHEMBL1800528,2.1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,268.32,4,1,2.45512,1
CHEMBL143305,3.72,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,355.22100000000006,5,0,4.078220000000003,1
CHEMBL2326481,1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,380.5170000000001,5,1,3.1811000000000016,1
CHEMBL15245,1.65,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,354.4500000000001,4,2,2.6471000000000013,1
CHEMBL1852688,3.7,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,560.4860000000001,8,2,5.354400000000004,0
CHEMBL2171169,2.2,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,540.6690000000003,10,5,2.2473999999999994,0
CHEMBL2216830,2.04,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,656.6149999999998,8,2,6.6058000000000066,0
CHEMBL381098,4.49,CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C,456.55500000000023,6,0,5.139300000000003,0
CHEMBL284275,0.2,COc1ccc(Cc2c(N)n[nH]c2N)cc1,218.26,4,3,1.1734999999999998,1
CHEMBL2177167,2.0,CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1,469.57100000000014,8,2,1.9452999999999991,1
CHEMBL2331746,1.49,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O,457.5080000000002,7,2,2.3687199999999997,1
CHEMBL1712280,4.28,c1ccc(N2CC3COc4ccccc4C3=N2)cc1,250.30100000000002,3,0,2.919500000000001,1
CHEMBL1790041,-0.95,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,314.411,7,2,1.4589999999999999,1
CHEMBL1184060,1.64,CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O,410.86100000000016,6,2,3.6275000000000026,1
CHEMBL1502799,2.02,FC(F)c1nc2ccccc2[nH]1,168.146,1,1,2.5004999999999997,1
CHEMBL2208436,3.09,N#Cc1cccc(OC[C@@H](O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1,434.3670000000002,5,2,3.8589800000000025,1
CHEMBL480445,2.18,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,427.45500000000027,6,2,3.1159000000000017,1
CHEMBL1392670,4.4,O=C(Oc1ccccc1O)c1cccc2ccccc12,264.28000000000003,3,1,3.7646000000000015,1
CHEMBL1455477,3.28,COc1ccccc1CNc1cc(C)ccn1,228.295,3,1,3.010720000000001,1
CHEMBL1939414,3.04,Nc1nc(Nc2cccc(Br)c2)c2nc[nH]c2n1,305.13899999999995,5,3,2.4411999999999994,1
CHEMBL1617016,3.12,Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2,340.2240000000001,3,1,4.2737000000000025,1
CHEMBL2207600,0.06,COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O,512.5840000000003,6,2,4.650940000000003,0
CHEMBL244213,2.49,O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1,248.228,2,1,2.881100000000001,1
CHEMBL404957,1.11,CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1,327.38100000000003,6,1,2.2285000000000004,1
CHEMBL520252,2.81,Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1,403.4820000000001,4,2,4.929420000000004,1
CHEMBL190747,3.52,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,364.40100000000007,5,1,3.821100000000002,1
CHEMBL1079175,2.5,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,407.4770000000002,5,2,4.242700000000003,1
CHEMBL1499868,4.48,CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,366.4680000000001,2,2,5.569200000000004,0
CHEMBL1824042,1.33,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1,471.9450000000002,7,2,2.0455,1
CHEMBL2158827,1.83,O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,477.43200000000024,4,1,5.380300000000005,0
CHEMBL520925,3.6,COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1OC,375.7870000000001,5,2,3.8870000000000022,1
CHEMBL181502,3.2,CN(C(=O)C1CCC1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,390.5710000000001,2,0,4.931500000000005,1
CHEMBL1962631,-0.56,N=C(N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,320.744,7,5,0.34257000000000015,1
CHEMBL470915,3.53,N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1,314.39300000000003,7,2,1.3675799999999998,1
CHEMBL1163803,4.3,CCN(C(=O)NCc1c(F)cccc1F)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,491.62600000000026,2,1,6.182900000000006,0
CHEMBL598194,2.88,NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,384.8710000000001,5,3,2.2253999999999996,1
CHEMBL42,3.08,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83100000000013,4,1,3.7227000000000023,1
CHEMBL2178954,1.0,Cc1ncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O,353.422,4,2,3.2994200000000005,1
CHEMBL373250,2.4,Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,399.40500000000014,8,0,3.0745000000000013,1
CHEMBL1169388,1.89,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33099999999996,2,1,4.435000000000003,1
CHEMBL2171046,1.52,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1,526.4860000000003,5,1,4.707920000000004,0
CHEMBL144960,3.33,O=c1ccoc2cc(OCc3ccccc3)ccc12,252.269,3,0,3.3720000000000026,1
CHEMBL271023,0.79,[O-][S+](c1ccccc1)c1ccc2nnnn2n1,245.267,6,0,0.6859999999999999,1
CHEMBL90531,3.2,O=[N+]([O-])c1ccc2c(c1)N(c1cccc[n+]1[O-])CC(C(F)F)(C(F)F)O2,373.26199999999994,5,0,3.027700000000001,1
CHEMBL645,0.1,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,325.449,5,2,2.3659,1
CHEMBL2178950,0.22,Cc1ncc(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](C(=O)O)CC2)cc1,339.3950000000001,4,2,2.909320000000001,1
CHEMBL2178393,2.0,Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,406.56200000000007,9,2,2.6713999999999993,1
CHEMBL1809049,4.0,COc1cc(OC2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,492.9670000000001,8,1,4.586600000000003,1
CHEMBL1373079,2.71,COc1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1,251.28500000000003,2,1,3.2037000000000013,1
CHEMBL74380,0.7,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,695.7620000000003,12,4,3.630320000000003,0
CHEMBL257600,3.67,Cn1cc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,499.9620000000003,9,0,3.4337800000000023,1
CHEMBL1362558,0.87,Cn1sc(NC(=O)c2cccc(Cl)c2)nc1=O,269.713,5,1,1.7474999999999996,1
CHEMBL2059861,2.83,Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,398.4660000000001,5,1,4.621820000000003,1
CHEMBL235191,0.82,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,269.304,3,3,2.4795,1
CHEMBL197536,1.0,O=c1cc(N2CCOCC2)oc2cc(O)ccc12,247.25,5,1,1.3352,1
CHEMBL1086580,3.07,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,312.31600000000003,4,1,3.657300000000002,1
CHEMBL1290331,3.07,O=C(COCc1cscn1)N1CCN(c2ccc(Cl)cc2Cl)CC1,386.3040000000002,5,0,3.3153000000000024,1
CHEMBL203370,1.6,O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1,254.245,5,2,1.7968999999999995,1
CHEMBL1945035,1.58,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccccc3CNCCc3ccccc3F)c2s1,481.5930000000002,6,5,3.6323000000000016,1
CHEMBL551360,2.62,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2c(=O)n(C(CO)CO)ccc12,410.5140000000002,5,3,3.0722000000000014,1
CHEMBL1783284,3.37,COc1ccc(-c2c(F)ccc3c(N)c(C(=O)NC4CC4)nnc23)c(OC)n1,383.3830000000002,7,2,2.3225,1
CHEMBL1909734,2.68,Clc1ccccc1-c1cnn[nH]1,179.61,2,1,2.1250999999999998,1
CHEMBL1481866,1.7,NC(=O)c1ccc(Oc2cccc3cccnc23)c([N+](=O)[O-])c1,309.28100000000006,5,1,3.034200000000001,1
CHEMBL1831079,2.21,NC(=O)Nc1cc(-c2cccc(O)c2)sc1C(N)=O,277.305,4,4,1.7102,1
CHEMBL437,-0.37,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,255.32400000000004,5,2,1.5261,1
CHEMBL272105,2.49,COC(=O)c1nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2[nH]c1=O,437.4280000000001,9,3,1.8628999999999998,1
CHEMBL1940108,3.11,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,435.44000000000017,9,1,3.283100000000002,1
CHEMBL370252,0.74,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,261.252,3,1,2.346,1
CHEMBL205245,1.61,Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C,514.4350000000004,9,1,2.4845200000000007,0
CHEMBL2070946,1.2,N#Cc1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1,412.5190000000002,7,1,1.6421599999999998,1
CHEMBL443320,-1.34,Cc1ccc(NC(=N)N)cc1C,163.22400000000002,1,3,1.6088099999999999,1
CHEMBL1779497,1.26,O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,362.817,5,2,1.8842999999999996,1
CHEMBL1332736,1.3,O=C(Oc1ccccc1)N1CCOCC1,207.2289999999999,3,0,1.5175999999999998,1
CHEMBL2070948,1.9,CC(C)(C#N)c1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1,454.6000000000003,7,1,2.5716600000000005,1
CHEMBL1732699,3.0,FC(F)(F)c1nnc2ccc(N3CCCCC3)nn12,271.246,5,0,2.1334,1
CHEMBL1917433,0.21,Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,424.9310000000002,5,2,4.210420000000003,1
CHEMBL2141746,1.55,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,343.47400000000016,5,1,1.4844,1
CHEMBL256576,2.82,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1,509.5700000000004,9,1,3.7925000000000013,0
CHEMBL87388,3.52,COc1ccc(Cn2cc3c(=O)n(C)c(=O)n(CC(C)C)c3c2)cc1,341.41100000000006,6,0,2.2146,1
CHEMBL150606,3.2,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1,414.8280000000002,8,1,3.8450000000000033,1
