SMILES,CASRN,EXTERNALID,N,NAME,ARTICLEID,PUBMEDID,PAGE,TABLE,Solubility_log(mol/L),UNIT {Water solubility},"Water solubility {measured, converted}",UNIT {Water solubility}.1,Dataset,Temperature,UNIT {Temperature},Ionic strength,UNIT {Ionic strength},comment (chemical),source,pH,UNIT {pH}
O=C1C=CC=CN1C,694-85-9,-,19,n-methyl-2-pyridone,A64,11749573,-,-,0.96,log(mol/L),-0.96,-log(M),Train,,-,,-,,,,-
NC(OCC)=O,51-79-6,-,21,o-ethyl carbamate,A64,11749573,-,-,0.85,log(mol/L),-0.85,-log(M),Train,,-,,-,,,,-
O=C(C1=CCCN(C)C1)OC,63-75-2,-,22,arecoline,A64,11749573,-,-,0.81,log(mol/L),-0.81,-log(M),Train,,-,,-,,,,-
OC1=CC(O)=CC=C1,108-46-3,-,23,"1,3-benzenediol",A64,11749573,-,-,0.81,log(mol/L),-0.81,-log(M),Train,,-,,-,,,,-
C1=CN=CC=C1,110-86-1,-,24,pyridine,A64,11749573,-,-,0.76,log(mol/L),-0.76,-log(M),Train,,-,,-,,,,-
CC1CNCCN1,109-07-9,-,25,2-methylpiperazine,A64,11749573,-,-,0.74,log(mol/L),-0.74,-log(M),Train,,-,,-,,,,-
OC1=C(O)C=CC=C1,120-80-9,-,27,"1,2-benzenediol",A64,11749573,-,-,0.62,log(mol/L),-0.62,-log(M),Train,,-,,-,,,,-
NC(C1=CC=CN=C1)=O,98-92-0,-,28,nicotinamide,A64,11749573,-,-,0.61,log(mol/L),-0.61,-log(M),Train,,-,,-,,,,-
O=C1NC=NC=C1,51953-17-4,-,29,4(3h)-pyrimidone,A64,11749573,-,-,0.59,log(mol/L),-0.59,-log(M),Train,,-,,-,,,,-
CCC=O,123-38-6,-,30,propanal,A64,11749573,-,-,0.58,log(mol/L),-0.58,-log(M),Train,,-,,-,,,,-
C(=O)OC,107-31-3,-,31,methyl formate,A64,11749573,-,-,0.58,log(mol/L),-0.58,-log(M),Train,,-,,-,,,,-
C=CC=O,107-02-8,-,32,acrolein,A64,11749573,-,-,0.57,log(mol/L),-0.57,-log(M),Train,,-,,-,,,,-
C1CCOC1,109-99-9,-,33,tetrahydrofuran,A64,11749573,-,-,0.56,log(mol/L),-0.56,-log(M),Train,,-,,-,,,,-
CC(=O)CC,78-93-3,-,34,2-butanone,A64,11749573,-,-,0.52,log(mol/L),-0.52,-log(M),Train,,-,,-,,,,-
CC1NCC(C)NC1,106-55-8,-,35,"2,5-dimethylpiperazine",A64,11749573,-,-,0.49,log(mol/L),-0.49,-log(M),Train,,-,,-,,,,-
COCOC,109-87-5,-,36,dimethoxymethane,A64,11749573,-,-,0.48,log(mol/L),-0.48,-log(M),Train,,-,,-,,,,-
CC1=NC(C)=CC=C1,108-48-5,-,37,"2,6-dimethylpyridine",A64,11749573,-,-,0.45,log(mol/L),-0.45,-log(M),Train,,-,,-,,,,-
CC1=CC=C(C)N=C1,589-93-5,-,38,"2,5-dimethylpyridine",A64,11749573,-,-,0.4,log(mol/L),-0.4,-log(M),Train,,-,,-,,,,-
CC1=CC(C)=NC=C1,108-47-4,-,40,"2,4-dimethylpyridine",A64,11749573,-,-,0.38,log(mol/L),-0.38,-log(M),Train,,-,,-,,,,-
CC1=CC=CN=C1C,583-61-9,-,41,"2,3-dimethylpyridine",A64,11749573,-,-,0.38,log(mol/L),-0.38,-log(M),Train,,-,,-,,,,-
O=C1N2CC3CNCC(C3)C2=CC=C1,485-35-8,-,42,cytisine,A64,11749573,-,-,0.36,log(mol/L),-0.36,-log(M),Train,,-,,-,,,,-
OC1C(O)C(O)C(O)C(O)C1O,643-12-9,-,43,d-inositol,A64,11749573,-,-,0.35,log(mol/L),-0.35,-log(M),Train,,-,,-,,,,-
CC=CC=O,4170-30-3,-,44,2-butenal,A64,11749573,-,-,0.32,log(mol/L),-0.32,-log(M),Train,,-,,-,,,,-
CCC(C(O)=O)N,80-60-4,-,45,alpha-aminobutyric acid,A64,11749573,-,-,0.31,log(mol/L),-0.31,-log(M),Train,,-,,-,,,,-
O=C1CCC(N1)=O,123-56-8,-,46,succinimide,A64,11749573,-,-,0.3,log(mol/L),-0.3,-log(M),Train,,-,,-,,,,-
CC(C)C(O)=O,79-31-2,-,47,isobutyric acid,A64,11749573,-,-,0.28,log(mol/L),-0.28,-log(M),Train,,-,,-,,,,-
CN1CCCCC1,626-67-5,-,48,n-methylpiperidine,A64,11749573,-,-,0.23,log(mol/L),-0.23,-log(M),Train,,-,,-,,,,-
CC(CC(C)=O)=O,123-54-6,-,49,"2,4-pentanedione",A64,11749573,-,-,0.22,log(mol/L),-0.22,-log(M),Train,,-,,-,,,,-
C(OCC)=O,109-94-4,-,50,Ethyl formate,A64,11749573,-,-,0.15,log(mol/L),-0.15,-log(M),Train,,-,,-,,,,-
C=CC#N,107-13-1,-,51,acrylonitrile,A64,11749573,-,-,0.15,log(mol/L),-0.15,-log(M),Train,,-,,-,,,,-
CC1CCCO1,96-47-9,-,52,2-methyltetrahydrofuran,A64,11749573,-,-,0.11,log(mol/L),-0.11,-log(M),Train,,-,,-,,,,-
CC(C)(C)OC(N)=O,4248-19-5,-,53,o-t-butyl carbamate,A64,11749573,-,-,0.1,log(mol/L),-0.1,-log(M),Train,,-,,-,,,,-
CCC(C)(O)C,75-85-4,-,54,2-ethyl-2-propanol,A64,11749573,-,-,0.08,log(mol/L),-0.08,-log(M),Train,,-,,-,,,,-
NNC1=CC=CC=C1,100-63-0,-,55,phenyl hydrazine,A64,11749573,-,-,0.07,log(mol/L),-0.07,-log(M),Train,,-,,-,,,,-
CC(C)CO,78-83-1,-,56,2-methylpropanol,A64,11749573,-,-,0.04,log(mol/L),-0.04,-log(M),Train,,-,,-,,,,-
O=S(CC)(CC)=O,597-35-3,-,57,diethyl sulfone,A64,11749573,-,-,0.04,log(mol/L),-0.04,-log(M),Train,,-,,-,,,,-
C=12N=CC=NC1N=CN=C2,91-18-9,-,58,pteridine,A64,11749573,-,-,0.02,log(mol/L),-0.02,-log(M),Train,,-,,-,,,,-
O=C(C1=CC=NC=C1)NN,54-85-3,-,59,isoniazid,A64,11749573,-,-,0.01,log(mol/L),-0.01,-log(M),Train,,-,,-,,,,-
OC1=CC=CC=C1,108-95-2,-,60,Phenol,A64,11749573,-,-,0.0,log(mol/L),0.0,-log(M),Train,,-,,-,,,,-
CCCC=O,123-72-8,-,61,butanal,A64,11749573,-,-,-0.01,log(mol/L),0.01,-log(M),Train,,-,,-,,,,-
C1CCOCC1,142-68-7,-,63,tetrahydropyran,A64,11749573,-,-,-0.03,log(mol/L),0.03,-log(M),Train,,-,,-,,,,-
CCC1NC(=O)NC1=O,15414-82-1,-,64,5-ethylhydantoin,A64,11749573,-,-,-0.06,log(mol/L),0.06,-log(M),Train,,-,,-,,,,-
CC1=CC(O)=NO1,10004-44-1,-,65,3-hydroxy-5-methylisoxazole,A64,11749573,-,-,-0.07,log(mol/L),0.07,-log(M),Train,,-,,-,,,,-
NC(C(O)=O)C(O)C,72-19-5,-,66,threonine,A64,11749573,-,-,-0.09,log(mol/L),0.09,-log(M),Train,,-,,-,,,,-
CCOCC,60-29-7,-,67,Diethyl ether,A64,11749573,-,-,-0.09,log(mol/L),0.09,-log(M),Train,,-,,-,,,,-
C(C1=CC=CO1)=O,98-01-1,-,68,furfural,A64,11749573,-,-,-0.1,log(mol/L),0.1,-log(M),Train,,-,,-,,,,-
CC1=NC=2N=CC=NC2C=N1,2432-20-4,-,69,2-methylpteridine,A64,11749573,-,-,-0.12,log(mol/L),0.12,-log(M),Train,,-,,-,,,,-
NC(C(O)=O)C(C)(S)C,52-67-5,-,70,pencillamine,A64,11749573,-,-,-0.13,log(mol/L),0.13,-log(M),Train,,-,,-,,,,-
CCN(CC)CC,121-44-8,-,71,triethylamine,A64,11749573,-,-,-0.14,log(mol/L),0.14,-log(M),Train,,-,,-,,,,-
C1=CC=CN1,109-97-7,-,72,pyrrole,A64,11749573,-,-,-0.17,log(mol/L),0.17,-log(M),Train,,-,,-,,,,-
OC1C(O)C(O)CC(O)C1O,488-73-3,-,73,d-quercitol,A64,11749573,-,-,-0.17,log(mol/L),0.17,-log(M),Train,,-,,-,,,,-
OC(CO)CN1C=NC2=C1C(N(C)C(N2C)=O)=O,479-18-5,-,74,dyphylline,A64,11749573,-,-,-0.17,log(mol/L),0.17,-log(M),Train,,-,,-,,,,-
O=NN1CCCCC1,100-75-4,-,75,n-nitrosopiperidine,A64,11749573,-,-,-0.17,log(mol/L),0.17,-log(M),Train,,-,,-,,,,-
CC(CCC)=O,107-87-9,-,76,2-pentanone,A64,11749573,-,-,-0.19,log(mol/L),0.19,-log(M),Train,,-,,-,,,,-
OC(CCC)=O,107-92-6,-,77,butyric acid,A64,11749573,-,-,-0.19,log(mol/L),0.19,-log(M),Train,,-,,-,,,,-
CN(NC(CCC(O)=O)=O)C,1596-84-5,-,78,daminozide,A64,11749573,-,-,-0.2,log(mol/L),0.2,-log(M),Train,,-,,-,,,,-
OC(CCC(O)=O)=O,110-15-6,-,79,succinic acid,A64,11749573,-,-,-0.2,log(mol/L),0.2,-log(M),Train,,-,,-,,,,-
CC(C)C(O)C,598-75-4,-,80,3-methyl-2-butanol,A64,11749573,-,-,-0.2,log(mol/L),0.2,-log(M),Train,,-,,-,,,,-
O=C(OC)C=C,96-33-3,-,81,methyl acrylate,A64,11749573,-,-,-0.22,log(mol/L),0.22,-log(M),Train,,-,,-,,,,-
CCC(O)CC,584-02-1,-,82,3-pentanol,A64,11749573,-,-,-0.24,log(mol/L),0.24,-log(M),Train,,-,,-,,,,-
O=C(C1C2OC(CC2)C1C(O)=O)O,145-73-3,-,83,endothall,A64,11749573,-,-,-0.27,log(mol/L),0.27,-log(M),Train,,-,,-,,,,-
CC(O)CCC,6032-29-7,-,84,2-pentanol,A64,11749573,-,-,-0.29,log(mol/L),0.29,-log(M),Train,,-,,-,,,,-
OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,2385-74-2,-,85,l-camphoronic acid,A64,11749573,-,-,-0.29,log(mol/L),0.29,-log(M),Train,,-,,-,,,,-
ClCCC#N,542-76-7,-,86,3-chloropropionitrile,A64,11749573,-,-,-0.29,log(mol/L),0.29,-log(M),Train,,-,,-,,,,-
OC1=C(CO)C=CC=C1,90-01-7,-,87,salicyl alcohol,A64,11749573,-,-,-0.29,log(mol/L),0.29,-log(M),Train,,-,,-,,,,-
NC(OCC(C)C)=O,2114-15-0,-,88,o-isobutyl carbamate,A64,11749573,-,-,-0.3,log(mol/L),0.3,-log(M),Train,,-,,-,,,,-
NC(=NC#N)N,461-58-5,-,89,2-cyanoguanidine,A64,11749573,-,-,-0.31,log(mol/L),0.31,-log(M),Train,,-,,-,,,,-
CC(CC)(O)CC,77-74-7,-,90,3-methyl-3-pentanol,A64,11749573,-,-,-0.38,log(mol/L),0.38,-log(M),Train,,-,,-,,,,-
NC1=CC=C(N)C=C1,106-50-3,-,91,"1,4-benzenediamine",A64,11749573,-,-,-0.38,log(mol/L),0.38,-log(M),Train,,-,,-,,,,-
COCCC,557-17-5,-,92,methyl propyl ether,A64,11749573,-,-,-0.39,log(mol/L),0.39,-log(M),Train,,-,,-,,,,-
OCC(C)C(C)C,19550-30-2,-,93,"2,3-dimethylbutanol",A64,11749573,-,-,-0.39,log(mol/L),0.39,-log(M),Train,,-,,-,,,,-
OCC1=CC=CC=C1,100-51-6,-,94,phenylmethanol,A64,11749573,-,-,-0.4,log(mol/L),0.4,-log(M),Train,,-,,-,,,,-
OC(C(N)CCSC)=O,63-68-3,-,95,methionine,A64,11749573,-,-,-0.42,log(mol/L),0.42,-log(M),Train,,-,,-,,,,-
NC1=CC=CC=C1N,95-54-5,-,96,"1,2-benzenediamine",A64,11749573,-,-,-0.42,log(mol/L),0.42,-log(M),Train,,-,,-,,,,-
OC(C(C)NC)C1=CC=CC=C1,299-42-3,-,97,Ephedrine,A64,11749573,-,-,-0.42,log(mol/L),0.42,-log(M),Train,,-,,-,,,,-
OC1CCCCC1,108-93-0,-,98,cyclohexanol,A64,11749573,-,-,-0.44,log(mol/L),0.44,-log(M),Train,,-,,-,,,,-
CC(CC1CCCCN1)=O,-,-,99,pelletierine,A64,11749573,-,-,-0.45,log(mol/L),0.45,-log(M),Train,,-,,-,,,,-
OC1=CC=CN=C1,109-00-2,-,100,3-hydroxypyridine,A64,11749573,-,-,-0.46,log(mol/L),0.46,-log(M),Train,,-,,-,,,,-
O=C(C1=CC=CN=C1)OC,93-60-7,-,101,methyl nicotinate,A64,11749573,-,-,-0.46,log(mol/L),0.46,-log(M),Train,,-,,-,,,,-
CC1=NC=NC2=C1N=CC=N2,2432-21-5,-,102,4-methylpteridine,A64,11749573,-,-,-0.47,log(mol/L),0.47,-log(M),Train,,-,,-,,,,-
NCC(O)C1=CC=CC=C1,7568-93-6,-,103,phenylethanolamine,A64,11749573,-,-,-0.48,log(mol/L),0.48,-log(M),Train,,-,,-,,,,-
O=C(C(CO)C1=CC=CC=C1)OC2CC3C4OC4C(C2)N3C,51-34-3,-,104,Scopolamine,A64,11749573,-,-,-0.48,log(mol/L),0.48,-log(M),Train,,-,,-,,,,-
O=COCCC,110-74-7,-,105,propyl formate,A64,11749573,-,-,-0.49,log(mol/L),0.49,-log(M),Train,,-,,-,,,,-
NCCC(C(NC1CC(C(C(C1OC2OC(C(C(C2O)N)O)CO)O)OC3OC(C(C(C3O)O)O)CN)N)=O)O,37517-28-5,-,106,amikacin,A64,11749573,-,-,-0.5,log(mol/L),0.5,-log(M),Train,,-,,-,,,,-
OCCC(C)(C)C,624-95-3,-,107,"3,3-dimethyl-1-butanol",A64,11749573,-,-,-0.5,log(mol/L),0.5,-log(M),Train,,-,,-,,,,-
N=1C(=CNC1)CC(N)C(O)=O,71-00-1,-,108,histidine,A64,11749573,-,-,-0.53,log(mol/L),0.53,-log(M),Train,,-,,-,,,,-
CCCC(O)C(CC)CO,94-96-2,-,109,"2-ethyl-1,3-hexanediol",A64,11749573,-,-,-0.54,log(mol/L),0.54,-log(M),Train,,-,,-,,,,-
OC(C(N)CCC(N)=O)=O,56-85-9,-,110,glutamine,A64,11749573,-,-,-0.55,log(mol/L),0.55,-log(M),Train,,-,,-,,,,-
CC1CO1,75-56-9,-,111,propylene oxide,A64,11749573,-,-,-0.59,log(mol/L),0.59,-log(M),Train,,-,,-,,,,-
O=C1CCCCC1,108-94-1,-,112,cyclohexanone,A64,11749573,-,-,-0.6,log(mol/L),0.6,-log(M),Train,,-,,-,,,,-
CC(OCC(OC(C)=O)COC(C)=O)=O,102-76-1,-,113,glyceryl triacetate,A64,11749573,-,-,-0.6,log(mol/L),0.6,-log(M),Train,,-,,-,,,,-
CC(C)(C)C(O)C,464-07-3,-,114,"3,3-dimethyl-2-butanol",A64,11749573,-,-,-0.62,log(mol/L),0.62,-log(M),Train,,-,,-,,,,-
O=C1N(C2=CC=CC=C2)N(C)C(C)=C1N(C)C,58-15-1,-,115,Aminopyrine,A64,11749573,-,-,-0.63,log(mol/L),0.63,-log(M),Train,,-,,-,,,,-
ClCCl,75-09-2,-,116,Dichloromethane,A64,11749573,-,-,-0.63,log(mol/L),0.63,-log(M),Train,,-,,-,,,,-
NC(OCCCC)=O,592-35-8,-,117,o-butyl carbamate,A64,11749573,-,-,-0.66,log(mol/L),0.66,-log(M),Train,,-,,-,,,,-
CCOCCC,628-32-0,-,118,ethyl propyl ether,A64,11749573,-,-,-0.66,log(mol/L),0.66,-log(M),Train,,-,,-,,,,-
O=C(CC)OCC,105-37-3,-,119,ethyl propionate,A64,11749573,-,-,-0.66,log(mol/L),0.66,-log(M),Train,,-,,-,,,,-
OC1=CC=CC(C)=C1,108-39-4,-,120,m-cresol,A64,11749573,-,-,-0.68,log(mol/L),0.68,-log(M),Train,,-,,-,,,,-
O=CNC1=CC=CC=C1,103-70-8,-,121,formanilide,A64,11749573,-,-,-0.68,log(mol/L),0.68,-log(M),Train,,-,,-,,,,-
OC1=CC=C(Cl)C=C1,106-48-9,-,122,4-Chlorophenol,A64,11749573,-,-,-0.7,log(mol/L),0.7,-log(M),Train,,-,,-,,,,-
OC1=CC=CC(Cl)=C1,108-43-0,-,123,3-Chlorophenol,A64,11749573,-,-,-0.7,log(mol/L),0.7,-log(M),Train,,-,,-,,,,-
OC1=CC=C(C)C=C1,106-44-5,-,124,p-cresol,A64,11749573,-,-,-0.7,log(mol/L),0.7,-log(M),Train,,-,,-,,,,-
CC(C)C(O)CC,565-67-3,-,125,2-methyl-3-pentanol,A64,11749573,-,-,-0.7,log(mol/L),0.7,-log(M),Train,,-,,-,,,,-
OCCOC1=CC=CC=C1,122-99-6,-,126,2-phenoxyethanol,A64,11749573,-,-,-0.71,log(mol/L),0.71,-log(M),Train,,-,,-,,,,-
CC(O)C(C)CC,565-60-6,-,127,3-methyl-2-pentanol,A64,11749573,-,-,-0.72,log(mol/L),0.72,-log(M),Train,,-,,-,,,,-
C(C)(=O)OCCC,109-60-4,-,128,Propyl acetate,A64,11749573,-,-,-0.72,log(mol/L),0.72,-log(M),Train,,-,,-,,,,-
CC(C)(O)C(C)(C)C,594-83-2,-,129,"2,3,3-trimethyl-2-butanol",A64,11749573,-,-,-0.72,log(mol/L),0.72,-log(M),Train,,-,,-,,,,-
NC1=CC=CC=C1O,95-55-6,-,130,2-aminophenol,A64,11749573,-,-,-0.72,log(mol/L),0.72,-log(M),Train,,-,,-,,,,-
O=C(C=C)OCC,140-88-5,-,132,ethyl acrylate,A64,11749573,-,-,-0.74,log(mol/L),0.74,-log(M),Train,,-,,-,,,,-
OC1=CC=C(N(=O)=O)C=C1,100-02-7,-,133,4-nitrophenol,A64,11749573,-,-,-0.74,log(mol/L),0.74,-log(M),Train,,-,,-,,,,-
ONC1=CC=CC=C1,100-65-2,-,134,phenylhydroxylamine,A64,11749573,-,-,-0.74,log(mol/L),0.74,-log(M),Train,,-,,-,,,,-
NC(CC(N)C(O)=O)=O,70-47-3,-,135,l-asparagine,A64,11749573,-,-,-0.74,log(mol/L),0.74,-log(M),Train,,-,,-,,,,-
N#CC(C1=CC=CC=C1)OC2C(C(O)C(O)C(O2)COC3C(C(O)C(O)C(O3)CO)O)O,29883-15-6,-,136,amygdalin,A64,11749573,-,-,-0.77,log(mol/L),0.77,-log(M),Train,,-,,-,,,,-
CCOCCOCC,629-14-1,-,137,"1,2-diethoxyethane",A64,11749573,-,-,-0.77,log(mol/L),0.77,-log(M),Train,,-,,-,,,,-
C=12C=CC=CC1NN=N2,95-14-7,-,138,benzotriazole,A64,11749573,-,-,-0.78,log(mol/L),0.78,-log(M),Train,,-,,-,,,,-
NC1=CC=C(O)C=C1,123-30-8,-,139,4-aminophenol,A64,11749573,-,-,-0.8,log(mol/L),0.8,-log(M),Train,,-,,-,,,,-
O=C1NC(=O)C=CN1C,615-77-0,-,140,1-methyluracil,A64,11749573,-,-,-0.8,log(mol/L),0.8,-log(M),Train,,-,,-,,,,-
OC(CC)CCC,623-37-0,-,141,3-hexanol,A64,11749573,-,-,-0.8,log(mol/L),0.8,-log(M),Train,,-,,-,,,,-
C=C(C)C(OC)=O,80-62-6,-,142,methyl methacrylate,A64,11749573,-,-,-0.8,log(mol/L),0.8,-log(M),Train,,-,,-,,,,-
CC(C)(C)COC(=O)N,3124-46-7,-,143,tert-amyl carbamate,A64,11749573,-,-,-0.8,log(mol/L),0.8,-log(M),Train,,-,,-,,,,-
O=C(OCC)CC(OCC)=O,105-53-3,-,144,diethyl malonate,A64,11749573,-,-,-0.82,log(mol/L),0.82,-log(M),Train,,-,,-,,,,-
C1=CC=CO1,110-00-9,-,145,furan,A64,11749573,-,-,-0.82,log(mol/L),0.82,-log(M),Train,,-,,-,,,,-
C(CCC)(=O)OC,623-42-7,-,146,methyl butyrate,A64,11749573,-,-,-0.82,log(mol/L),0.82,-log(M),Train,,-,,-,,,,-
C=CCS(SCC=C)=O,539-86-6,-,147,allicin,A64,11749573,-,-,-0.83,log(mol/L),0.83,-log(M),Train,,-,,-,,,,-
C=CC(CCC)=O,1629-60-3,-,148,1-hexen-3-one,A64,11749573,-,-,-0.83,log(mol/L),0.83,-log(M),Train,,-,,-,,,,-
O=C(O)C1=CN=CC=C1,59-67-6,-,149,nicotinic acid,A64,11749573,-,-,-0.84,log(mol/L),0.84,-log(M),Train,,-,,-,,,,-
CCCCC=O,110-62-3,-,150,pentanal,A64,11749573,-,-,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
CN(N=O)C(N)=O,684-93-5,-,151,1-nitroso-1-methylurea,A64,11749573,-,-,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
CCOC=C,109-92-2,-,152,ethyl vinyl ether,A64,11749573,-,-,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
CC1=CC(N)=CC=C1,108-44-1,-,153,3-methylaniline,A64,11749573,-,-,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
CCC(O)(CC)CC,597-49-9,-,154,3-ethyl-3-pentanol,A64,11749573,-,-,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
OC1C(C(C(CO)OC1OC2=CC=CC=C2CO)O)O,138-52-3,-,155,salicin,A64,11749573,-,-,-0.85,log(mol/L),0.85,-log(M),Train,,-,,-,,,,-
O=CC1=C(O)C=CC=C1,90-02-8,-,156,salicylaldehyde,A64,11749573,-,-,-0.86,log(mol/L),0.86,-log(M),Train,,-,,-,,,,-
ClC1=NC=2N=CN=CC2N=C1,1125-84-4,-,157,7-chloropteridine,A64,11749573,-,-,-0.87,log(mol/L),0.87,-log(M),Train,,-,,-,,,,-
CC1CCC(CC1)O,589-91-3,-,158,4-methylcyclohexanol,A64,11749573,-,-,-0.88,log(mol/L),0.88,-log(M),Train,,-,,-,,,,-
CC(C(C(C)=O)CCC)=O,1540-35-8,-,159,"3-propyl-2,4-pentadione",A64,11749573,-,-,-0.88,log(mol/L),0.88,-log(M),Train,,-,,-,,,,-
ClCBr,74-97-5,-,160,bromochloromethane,A64,11749573,-,-,-0.89,log(mol/L),0.89,-log(M),Train,,-,,-,,,,-
OC(CC1=CC=CC=C1)=O,103-82-2,-,161,phenylacetic acid,A64,11749573,-,-,-0.89,log(mol/L),0.89,-log(M),Train,,-,,-,,,,-
CC(NC(N)=O)=O,591-07-1,-,162,1-acetylurea,A64,11749573,-,-,-0.9,log(mol/L),0.9,-log(M),Train,,-,,-,,,,-
COC1=NC=2N=CN=CC2N=C1,204443-27-6,-,163,7-methoxypteridine,A64,11749573,-,-,-0.91,log(mol/L),0.91,-log(M),Train,,-,,-,,,,-
CC(C1=CC=CC=C1)O,98-85-1,-,164,1-phenylethanol,A64,11749573,-,-,-0.92,log(mol/L),0.92,-log(M),Train,,-,,-,,,,-
CC(C)(O)CC(C)C,625-06-9,-,165,"2,4-dimethyl-2-pentanol",A64,11749573,-,-,-0.92,log(mol/L),0.92,-log(M),Train,,-,,-,,,,-
O=C(CCC(OCC)=O)OCC,123-25-1,-,166,diethyl succinate,A64,11749573,-,-,-0.96,log(mol/L),0.96,-log(M),Train,,-,,-,,,,-
CC=CCC#N,16529-66-1,-,167,3-pentenenitrile,A64,11749573,-,-,-0.96,log(mol/L),0.96,-log(M),Train,,-,,-,,,,-
NC(C1=CC=CC=C1)=O,55-21-0,-,168,benzamide,A64,11749573,-,-,-0.96,log(mol/L),0.96,-log(M),Train,,-,,-,,,,-
OC1=CC=C(C=O)C=C1,123-08-0,-,169,p-hydroxybenzaldehyde,A64,11749573,-,-,-0.96,log(mol/L),0.96,-log(M),Train,,-,,-,,,,-
O=C1N(C)C2=C(N(C)C=N2)C(N1C)=O,58-08-2,-,170,Caffeine,A64,11749573,-,-,-0.97,log(mol/L),0.97,-log(M),Train,,-,,-,,,,-
CC(NC1=CC=C(N)C=C1)=O,122-80-5,-,171,4-aminoacetanilide,A64,11749573,-,-,-0.98,log(mol/L),0.98,-log(M),Train,,-,,-,,,,-
O=C1C=CC(C=C1)=O,106-51-4,-,172,"2,5-cyclohexadiene-1,4-dione",A64,11749573,-,-,-0.99,log(mol/L),0.99,-log(M),Train,,-,,-,,,,-
CCCCOC,628-28-4,-,173,methyl butyl ether,A64,11749573,-,-,-0.99,log(mol/L),0.99,-log(M),Train,,-,,-,,,,-
CI,74-88-4,-,174,iodomethane,A64,11749573,-,-,-1.0,log(mol/L),1.0,-log(M),Train,,-,,-,,,,-
CCC(C)(O)CCC,597-96-6,-,175,3-methyl-3-hexanol,A64,11749573,-,-,-1.0,log(mol/L),1.0,-log(M),Train,,-,,-,,,,-
O=COCC(C)C,542-55-2,-,176,isobutyl formate,A64,11749573,-,-,-1.01,log(mol/L),1.01,-log(M),Train,,-,,-,,,,-
