Name,SMILES,%F,label_cutoff_50%,our model predition_50%,label_cutoff_20%,our model predition_20%,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,logK(%F)
peldesine,N=c1nc(O)c2[nH]cc(Cc3cccnc3)c2[nH]1,33.0,0,1,1.0,1.0,241.254,4,4,1.06187,1,-0.307560862822939
dapsone,Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,93.0,1,1,1.0,1.0,249.29100000000005,4,2,1.8072,1,1.1233849085396783
enoximone,CSc1ccc(C(=O)c2[nH]c(O)nc2C)cc1,54.0,1,1,1.0,1.0,248.307,4,2,2.37662,1,0.06963592814139448
phenobarbital,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,72.0,1,1,1.0,1.0,232.23899999999995,1,2,2.381,1,0.41017446508904926
nalidixic,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,96.0,1,1,1.0,1.0,232.239,4,1,1.4230200000000002,1,1.380211241711606
benznidazole,O=[N+]([O-])c1nccn1CC(O)=NCc1ccccc1,99.99,1,1,1.0,1.0,260.253,5,1,1.9479999999999995,1,3.9999565683799703
alinidine,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,99.99,1,1,1.0,1.0,270.163,3,1,2.945000000000001,1,3.9999565683799703
pyrimethamine,CCc1nc(=N)[nH]c(N)c1-c1ccc(Cl)cc1,99.99,1,1,1.0,1.0,248.717,3,3,2.35417,1,3.9999565683799703
rasagiline,C#CCNC1CCc2ccccc21,36.0,0,0,1.0,1.0,171.243,1,1,1.8967,1,-0.2498774732165999
triamterene,N=C1N=C2NC(N)=C(c3ccccc3)N=C2C(N)N1,51.0,1,1,1.0,1.0,255.28500000000005,5,5,-0.46313,1,0.017374096069422723
aniracetam,COc1ccc(C(=O)N2CCCC2=O)cc1,0.2,0,1,0.0,1.0,219.23999999999995,3,0,1.4578,1,-2.6981005456233897
phenylpiracetam,N=C(O)CN1CC(c2ccccc2)CC1=O,99.99,1,1,1.0,1.0,218.25599999999997,2,2,1.53777,1,3.9999565683799703
sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,59.099998,1,1,1.0,1.0,310.3350000000001,7,2,0.8768,1,0.15986413694008308
clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,95.0,1,1,1.0,1.0,242.702,3,0,3.060500000000001,1,1.2787536009528289
bicifadine,Cc1ccc(C23CNCC2C3)cc1,89.0,1,1,1.0,1.0,173.259,1,1,1.85592,1,0.9079973214866878
albendazole,CCCSc1ccc2nc(N=C(O)OC)[nH]c2c1,5.0,0,1,0.0,0.0,265.33799999999997,4,2,3.256900000000001,1,-1.278753600952829
entecavir,C=C1C(CO)C(O)CC1n1cnc2c(O)nc(=N)[nH]c21,99.99,1,1,1.0,1.0,277.284,7,5,-0.5851300000000004,1,3.9999565683799703
faropenem,CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,20.0,0,0,1.0,1.0,285.32099999999997,5,2,0.3736999999999999,1,-0.6020599913279624
fenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,89.0,1,1,1.0,1.0,231.26099999999997,1,1,3.2459000000000024,1,0.9079973214866878
eltoprazine,c1cc2c(c(N3CCNCC3)c1)OCCO2,99.99,1,1,1.0,1.0,220.2719999999999,4,1,0.8673999999999997,1,3.9999565683799703
hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CCCCC2)C1=O,95.0,1,1,1.0,1.0,236.27099999999993,2,1,2.0416,1,1.2787536009528289
cyclopenthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(CN1CCCC1)NS2(=O)=O,99.99,1,1,1.0,1.0,380.8790000000002,6,3,0.1131000000000004,1,3.9999565683799703
imipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(SCCNC=N)CC12,1.0,0,0,0.0,0.0,299.35200000000003,5,4,-0.1760299999999992,1,-1.99563519459755
thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,5.0,0,1,0.0,0.0,265.36199999999997,4,3,0.4381099999999997,1,-1.278753600952829
clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,99.0,1,1,1.0,1.0,277.195,3,3,2.9971000000000005,1,1.99563519459755
tulobuterol,CC(C)(C)NCC(O)c1ccccc1Cl,48.0,0,0,1.0,1.0,227.735,2,2,2.7615000000000007,1,-0.03476210625921192
secobarbital,C=CCC1(C(C)CCC)C(O)=NC(=O)N=C1O,90.0,1,1,1.0,1.0,238.287,1,2,3.0317000000000007,1,0.9542425094393249
tolbutamide,CCCCN=C(O)NS(=O)(=O)c1ccc(C)cc1,85.0,1,1,1.0,1.0,270.354,3,2,1.98742,1,0.7533276666586115
midodrine,COc1ccc(OC)c(C(O)CN=C(O)CN)c1,93.0,1,1,1.0,1.0,254.28599999999997,5,3,0.6523999999999999,1,1.1233849085396783
propofol,CC(C)c1cccc(C(C)C)c1O,5.0,0,0,0.0,0.0,178.27499999999995,1,1,3.6390000000000025,1,-1.278753600952829
neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,2.0,0,0,0.0,0.0,223.29599999999996,2,0,1.9437,1,-1.6901960800285136
bamethan,CCCC[NH2+]CC(O)c1ccc(O)cc1,75.0,1,1,1.0,1.0,210.297,2,3,0.7890999999999997,1,0.47712125471966244
terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,14.0,0,0,0.0,0.0,225.288,4,4,1.5192999999999997,1,-0.7883704155653297
pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,60.0,1,1,1.0,1.0,240.303,5,4,0.7009999999999998,1,0.17609125905568124
zanamivir,CC(O)=NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO,2.0,0,0,0.0,0.0,332.31300000000005,7,8,-2.7355299999999976,0,-1.6901960800285136
nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,70.0,1,1,1.0,1.0,331.4670000000001,8,2,1.3224999999999998,1,0.36797678529459443
cadralazine,CCOC(O)=NNc1ccc(N(CC)CC(C)O)nn1,80.0,1,1,1.0,1.0,283.332,7,3,0.9610999999999996,1,0.6020599913279624
topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,70.0,1,1,1.0,1.0,339.3660000000001,8,1,-0.3953999999999982,1,0.36797678529459443
lactulose,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,3.0,0,0,0.0,0.0,342.29699999999997,11,8,-5.395599999999993,0,-1.5096504795465824
nitazoxanide,CC(=O)Oc1ccccc1C(O)=Nc1ncc([N+](=O)[O-])s1,70.0,1,1,1.0,1.0,307.28700000000003,7,1,2.6129,1,0.36797678529459443
lornoxicam,CN1C(C(O)=Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,99.99,1,1,1.0,1.0,371.82700000000006,6,2,2.945400000000001,1,3.9999565683799703
tenoxicam,CN1C(C(O)=Nc2ccccn2)=Cc2sccc2S1(=O)=O,99.99,1,1,1.0,1.0,321.3830000000001,5,1,2.4063,1,3.9999565683799703
oxolinic,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,50.0,1,1,1.0,1.0,261.23299999999995,5,1,1.4483,1,0.0
fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,90.0,1,1,1.0,1.0,306.276,7,1,0.7357999999999993,1,0.9542425094393249
sultosilic,Cc1ccc(S(=O)(=O)Oc2ccc(O)c(S(=O)(=O)O)c2)cc1,60.0,1,1,1.0,1.0,344.36600000000004,6,2,1.71502,1,0.17609125905568124
varenicline,c1cnc2cc3c(cc2n1)C1CNCC3C1,87.0,1,1,1.0,1.0,211.26799999999992,3,1,1.8039,1,0.8255759003117817
lenalidomide,Nc1cccc2c1CN(C1CCC(O)=NC1=O)C2=O,70.0,1,1,1.0,1.0,259.265,3,2,0.8701000000000001,1,0.36797678529459443
cefacetrile,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N=C(O)CC#N)C2SC1,0.01,0,0,0.0,0.0,339.32900000000006,7,2,0.0420800000000005,1,-3.9999565683801923
ceftizoxime,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(=N)[nH]1,0.01,0,0,0.0,0.0,383.411,8,4,-0.7254299999999987,1,-3.9999565683801923
ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,99.0,1,1,1.0,1.0,289.158,2,1,3.589800000000003,1,1.99563519459755
tacrine,N=c1c2c([nH]c3ccccc13)CCCC2,17.0,0,0,0.0,0.0,198.26899999999992,1,2,2.5261700000000005,1,-0.6886291709978
methylphenobarbital,CCC1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,73.0,1,1,1.0,1.0,246.2659999999999,2,1,1.8829,1,0.4319590959614686
genaconazole,CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,99.0,1,1,1.0,1.0,331.34400000000005,6,1,0.8772000000000002,1,1.99563519459755
cladribine,COC1CC(n2cnc3c(N)cc(Cl)cc32)OC1CO,43.0,0,1,1.0,1.0,297.742,6,2,1.5667,1,-0.12240640009290486
ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,20.0,0,0,1.0,1.0,237.7299999999999,2,1,2.897800000000001,1,-0.6020599913279624
aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(O)=NC1=O,95.0,1,1,1.0,1.0,232.28299999999996,2,2,2.1935,1,1.2787536009528289
mofebutazone,CCCCC1C(=O)N(c2ccccc2)N=C1O,90.0,1,1,1.0,1.0,232.283,2,1,2.711100000000001,1,0.9542425094393249
moclobemide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,75.0,1,1,1.0,1.0,268.74399999999997,3,1,1.4020000000000006,1,0.47712125471966244
selegiline,C#CCN(C)C(C)Cc1ccccc1,4.4000001,0,0,0.0,0.0,187.286,1,0,2.1826,1,-1.3370052054653008
aztreonam,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(=N)[nH]2)C(=O)N1S(=O)(=O)O,1.0,0,0,0.0,0.0,435.4400000000001,9,5,-1.3421299999999985,1,-1.99563519459755
ambroxol,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,77.0,1,1,1.0,1.0,378.10800000000023,3,3,3.1869000000000014,1,0.524762889154889
melphalan,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,71.0,1,1,1.0,1.0,305.205,3,2,1.925,1,0.38886035082011916
mabuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,91.0,1,1,1.0,1.0,310.74699999999996,3,3,3.3625000000000007,1,1.0047988828817687
bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.0,0,0,0.0,0.0,239.746,2,1,3.2993000000000023,1,-1.278753600952829
lacosamide,COCC(N=C(C)O)C(O)=NCc1ccccc1,99.99,1,1,1.0,1.0,250.298,3,2,2.1345,1,3.9999565683799703
pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,25.0,0,1,1.0,1.0,278.31200000000007,7,0,0.193,1,-0.47712125471966244
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,85.0,1,1,1.0,1.0,206.28499999999997,1,1,3.073200000000001,1,0.7533276666586115
mefruside,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,70.0,1,1,1.0,1.0,382.89100000000013,5,1,1.177,1,0.36797678529459443
pinacidil,CC(NC(=NC#N)N=c1cc[nH]cc1)C(C)(C)C,57.0,1,1,1.0,1.0,245.33000000000004,2,2,1.7766799999999994,1,0.12240640009290485
viloxazine,CCOc1ccccc1OCC1CNCCO1,85.0,1,1,1.0,1.0,237.29899999999992,4,1,1.4525,1,0.7533276666586115
r-albuterol,CC(C)(C)NCC(O)c1ccc(O)c(C(=O)O)c1,43.0,0,0,1.0,1.0,253.298,4,4,1.5119,1,-0.12240640009290486
probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,99.0,1,1,1.0,1.0,285.36499999999995,3,1,2.1955,1,1.99563519459755
prilocaine,CCCNC(C)C(O)=Nc1ccccc1C,20.0,0,1,1.0,1.0,220.31599999999997,2,2,2.971120000000001,1,-0.6020599913279624
practolol,CC(O)=Nc1ccc(C(O)CNC(C)C)cc1,95.0,1,1,1.0,1.0,236.315,3,3,2.3259,1,1.2787536009528289
levodropropizine,OCC(O)CN1CCN(c2ccccc2)CC1,75.0,1,1,1.0,1.0,236.31500000000003,4,2,0.1617999999999997,1,0.47712125471966244
etozolin,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,90.0,1,1,1.0,1.0,284.3809999999999,5,0,1.4081,1,0.9542425094393249
valaciclovir,CC(C)C(N)C(=O)OCCOCn1cnc2c(O)nc(=N)[nH]c21,0.01,0,0,0.0,0.0,324.34099999999995,9,4,-0.554929999999999,1,-3.9999565683801923
febuprol,CCCCOCC(O)COc1ccccc1,90.0,1,1,1.0,1.0,224.3,3,1,2.2430000000000003,1,0.9542425094393249
procainamide,CCN(CC)CCNC(=O)c1ccc(N)cc1,83.0,1,1,1.0,1.0,235.331,3,2,1.3403999999999996,1,0.6886291709978
salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,44.0,0,0,1.0,1.0,239.315,4,4,1.3059999999999998,1,-0.104735350520013
sotalol,CC(C)NCC(O)COc1cccc(NS(C)(=O)=O)c1,95.0,1,1,1.0,1.0,302.3960000000001,5,3,0.7957999999999994,1,1.2787536009528289
diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,85.0,1,1,1.0,1.0,250.19999999999996,2,2,3.035600000000001,1,0.7533276666586115
bromazepam,OC1=Nc2ccc(Br)cc2C(c2ccccn2)=NC1,84.0,1,1,1.0,1.0,316.158,3,1,3.283100000000002,1,0.7201593034059569
fenclofenac,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,99.99,1,1,1.0,1.0,297.13699999999994,2,1,4.4128000000000025,1,3.9999565683799703
mitotane,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,40.0,0,0,1.0,1.0,320.04600000000005,0,0,5.929000000000002,0,-0.17609125905568127
nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],90.0,1,1,1.0,1.0,329.2300000000001,5,0,2.7346000000000013,1,0.9542425094393249
olsalazine,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,2.0,0,0,0.0,0.0,302.242,6,4,2.9096000000000006,1,-1.6901960800285136
diclofenac,O=C(O)Cc1ccccc1Nc1ccc(Cl)cc1Cl,54.0,1,1,1.0,1.0,296.153,2,2,4.364100000000001,1,0.06963592814139448
chlorthalidone,NS(=O)(=O)c1cc(C2(O)N=C(O)c3ccccc32)ccc1Cl,64.0,1,1,1.0,1.0,338.77200000000005,4,3,1.4990000000000003,1,0.2498774732165999
tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,62.0,1,1,1.0,1.0,273.24399999999997,5,2,2.545420000000002,1,0.21260809288144372
