Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO,116.204,1,1,1.9491,1
Theophylline,-1.452,1,180.16699999999997,1,2,0,72.68,-1.39,Cn1c(=O)c2[nH]cnc2n(C)c1=O,180.16699999999997,5,1,-1.0397000000000005,1
Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,212.249,3,2,0.9389999999999998,1
"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,318.0300000000001,0,0,6.187900000000003,0
Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC,158.24099999999999,2,0,2.5199000000000007,1
"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1,134.22199999999998,0,0,2.811400000000001,1
Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,288.44,5,0,4.506300000000004,1
Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,300.314,4,2,3.784220000000002,1
"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64,C=C(Cl)Cl,96.944,0,0,1.9352,1
1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc1ccccc1-2,180.25000000000003,0,0,3.566220000000002,1
Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85,CCCCC=O,86.13399999999999,1,0,1.3755,1
Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.5039999999999996,c1ccc(Nc2ccccc2)cc1,169.227,1,1,3.430200000000001,1
Fenothiocarb,-3.2969999999999997,1,253.367,0,1,6,29.540000000000003,-3.927,CN(C)C(=O)SCCCCOc1ccccc1,253.367,3,0,3.2604000000000024,1
Piperophos,-4.637,1,353.4900000000001,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,353.4900000000001,5,0,4.198300000000004,1
1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81,CCCCCCCI,226.101,0,0,3.3918000000000026,1
3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,Clc1cccc(-c2ccccc2)c1,188.657,0,0,4.007000000000002,1
4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15,C=CCCCO,86.13399999999999,1,1,0.9448999999999999,1
Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.15200000000002,2,2,0,75.27,-1.655,O=C1NC(=O)C2(CCC2)C(=O)N1,168.15200000000002,3,2,-0.4773,1
menthol,-2.782,1,156.269,1,1,1,20.23,-2.53,CC1CCC(C(C)C)C(O)C1,156.26899999999998,1,1,2.4395000000000007,1
Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63,CC(C)OC=O,88.106,2,0,0.5678,1
2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55,CCCCCC(C)O,116.20399999999998,1,1,1.9475000000000002,1
p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083,CC(=O)Nc1ccc(Br)cc1,214.06199999999998,1,1,2.4074999999999998,1
brompyrazone,-3.005,1,266.098,1,2,1,60.91,-3.127,Nc1cnn(-c2ccccc2)c(=O)c1Br,266.09799999999996,4,1,1.5772000000000002,1
nifedipine,-4.248,1,346.33900000000017,1,2,4,107.77,-4.76,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],346.33900000000006,7,1,2.1756,1
"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,Cc1ccc2ccc(C)nc2c1,157.21599999999998,1,0,2.8516400000000006,1
1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66,C#CCCCCCC,110.2,0,0,2.5900000000000007,1
cyclobarbital,-2.421,1,236.27099999999993,2,2,2,75.27000000000001,-2.17,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,236.271,3,2,1.2491999999999996,1
Chrysene,-5.568,2,228.294,0,4,0,0.0,-8.057,c1ccc2c(c1)ccc1c3ccccc3ccc21,228.29399999999998,0,0,5.146200000000003,0
Bromacil,-3.4189999999999996,1,261.11899999999997,1,1,2,54.86,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,261.11899999999997,3,1,1.5785200000000001,1
"2,2',3,3',5,6-PCB",-7.185,1,360.88200000000006,0,2,1,0.0,-8.6,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,360.88200000000006,0,0,7.274000000000001,0
2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62,Cc1ccccc1O,108.13999999999999,1,1,1.70062,1
"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05,CC(C)CCC(C)(C)C,128.259,0,0,3.468700000000003,1
"1,4-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.14,Cc1ccc(C)c2ccccc12,156.228,0,0,3.456640000000002,1
6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c2ccccc12,242.321,0,0,5.454620000000004,0
2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19,CCCC(C)=O,86.13399999999999,1,0,1.3755,1
"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,429.77200000000016,0,0,8.580799999999998,0
Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82,CCCOC(=O)CC,116.15999999999998,2,0,1.3496000000000001,1
Triamcinolone,-2.734,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,394.4390000000002,6,4,0.6204999999999998,1
p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8,Nc1ccc(O)cc1,109.12799999999999,2,2,0.9743999999999999,1
Benznidazole,-2.3209999999999997,1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,260.253,5,1,1.1077,1
"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.84400000000016,1,4,2,54.37,-5.931,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,366.84400000000016,3,1,5.505100000000004,0
Trietazine,-3.233,1,229.71499999999995,1,1,5,53.940000000000005,-4.06,CCNc1nc(Cl)nc(N(CC)CC)n1,229.71499999999997,5,1,1.803,1
Pyrazinamide,-0.674,1,123.11499999999998,1,1,1,68.87,-0.667,NC(=O)c1cnccn1,123.11499999999998,3,1,-0.4245000000000001,1
Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O,237.09699999999998,2,2,1.1349999999999998,1
"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1-c1ccccc1Cl,223.102,0,0,4.660400000000002,1
nitrofurantoin,-1.243,1,238.15899999999996,1,2,3,118.04999999999998,-3.38,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,238.15899999999996,6,1,0.07349999999999995,1
Nitrofen,-5.361000000000001,1,284.09799999999996,0,2,3,52.37,-5.46,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,284.098,3,0,4.693900000000002,1
Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,CC12CCC(CC1=O)C2(C)C,152.237,1,0,2.401700000000001,1
5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27000000000001,-2.369,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,244.24999999999997,3,2,0.8664999999999996,1
Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25,CCCCC(=O)OCC,130.18699999999998,2,0,1.7397,1
Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,CC(=O)OCCC(C)C,130.18699999999998,2,0,1.5956000000000001,1
3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1,380.444,1,3,8,75.71,-5.886,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,380.4440000000001,4,1,3.5630000000000024,1
"2,3',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.01,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,257.54699999999997,0,0,5.313800000000002,0
1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,CCCBr,122.993,0,0,1.7913000000000001,1
Propiconazole,-4.603,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,342.2260000000001,5,0,3.653400000000003,1
Formothion,-2.0869999999999997,1,257.27299999999997,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O,257.27299999999997,6,0,0.8516999999999999,1
4-methylpteridine,-1.24,1,146.15299999999996,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12,146.15299999999996,4,0,0.7282199999999999,1
Thiourea,0.3289999999999999,1,76.12400000000001,2,0,0,52.04,0.32,NC(N)=S,76.124,1,2,-0.8113000000000001,1
p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77,Cc1ccc(C)cc1,106.16799999999999,0,0,2.30344,1
"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28,CCc1ccccc1CC,134.22199999999998,0,0,2.811400000000001,1
Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,236.74,0,0,3.7268,1
Flucythrinate,-6.877999999999999,1,451.4690000000001,0,3,9,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,451.46900000000005,5,0,6.627980000000005,0
1-Nitropropane,-0.816,1,89.09399999999998,0,0,2,43.14,-0.8,CCC[N+](=O)[O-],89.09399999999998,2,0,0.6731,1
Menthone,-2.516,1,154.253,0,1,1,17.07,-2.35,CC1CCC(C(C)C)C(=O)C1,154.25299999999996,1,0,2.6477000000000013,1
RTI 24,-4.423,1,273.723,1,3,1,45.23,-5.36,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,273.723,3,1,3.458700000000001,1
"2,3-Dichloronitrobenzene",-3.322,1,192.00100000000003,0,1,1,43.14,-3.48,O=[N+]([O-])c1cccc(Cl)c1Cl,192.00099999999998,2,0,2.901600000000001,1
thiamylal,-3.063,1,254.355,2,1,5,58.2,-3.46,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,254.355,3,2,1.5159999999999998,1
Fluoranthene,-4.957,2,202.25599999999997,0,4,0,0.0,-6.0,c1ccc2c(c1)-c1cccc3cccc-2c13,202.25599999999997,0,0,4.487200000000002,1
Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34,CCCOC(C)C,102.17699999999998,1,0,1.8214000000000001,1
"1,3-Dimethylnaphthalene",-4.147,1,156.22799999999998,0,2,0,0.0,-4.29,Cc1cc(C)c2ccccc2c1,156.22799999999998,0,0,3.456640000000002,1
diethylstilbestrol,-5.074,1,268.356,2,2,4,40.46,-4.07,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,268.356,2,2,4.828600000000005,1
Chlorothalonil,-3.995,1,265.914,0,1,0,47.58,-5.64,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,265.914,2,0,4.04356,1
"2,3',4',5-PCB",-6.312,1,291.992,0,2,1,0.0,-7.25,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,291.992,0,0,5.967200000000002,0
styrene oxide,-1.826,2,120.15099999999995,0,2,1,12.53,-1.6,c1ccc(C2CO2)cc1,120.15099999999997,1,0,1.7578999999999998,1
Isopropylbenzene ,-3.265,1,120.19499999999996,0,1,1,0.0,-3.27,CC(C)c1ccccc1,120.19499999999995,0,0,2.8100000000000014,1
Deoxycorticosterone,-3.939,1,330.4680000000001,1,4,2,54.370000000000005,-3.45,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,330.46800000000013,3,1,3.6959000000000026,1
chlorquinox,-4.438,1,267.93,0,2,0,25.78,-5.43,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,267.93,2,0,4.2434,1
L-arabinose,0.601,1,150.13,4,1,0,90.15,0.39,OC1COC(O)C(O)C1O,150.13,5,4,-2.5823000000000005,1
Dichloromethane,-1.156,1,84.93299999999999,0,0,0,0.0,-0.63,ClCCl,84.93299999999999,0,0,1.4215,1
1-Ethylnaphthalene ,-4.1,1,156.22799999999998,0,2,1,0.0,-4.17,CCc1cccc2ccccc12,156.22799999999998,0,0,3.4022000000000023,1
Methyl formate,-0.048,1,60.05200000000001,0,0,1,26.3,0.58,COC=O,60.05200000000001,2,0,-0.2108000000000001,1
o-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.74,O=[N+]([O-])c1ccccc1O,139.10999999999999,3,1,1.3003999999999998,1
thymine,-0.78,1,126.115,2,1,0,65.72,-1.506,Cc1c[nH]c(=O)[nH]c1=O,126.115,2,2,-0.6283800000000002,1
2-Methylpropane,-1.891,1,58.123999999999995,0,0,0,0.0,-2.55,CC(C)C,58.123999999999995,0,0,1.6622999999999999,1
Inosine,-0.8340000000000001,1,268.22900000000004,4,3,2,133.75,-1.23,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,268.22900000000004,9,4,-1.8566000000000003,1
Ioxynil,-4.615,1,370.915,1,1,0,44.02,-3.61,N#Cc1cc(I)c(O)c(I)c1,370.91499999999996,2,1,2.4730799999999995,1
Niclosamide,-5.032,1,327.1230000000001,2,2,3,92.47,-4.7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,327.12300000000005,4,2,3.859500000000001,1
Pentane,-2.261,1,72.151,0,0,2,0.0,-3.18,CCCCC,72.151,0,0,2.1965000000000003,1
Phenol,-1.991,1,94.113,1,1,0,20.23,0.0,Oc1ccccc1,94.11299999999999,1,1,1.3921999999999999,1
2-aminoanthracene,-3.789,1,193.249,1,3,0,26.02,-5.17,Nc1ccc2cc3ccccc3cc2c1,193.249,1,1,3.5752000000000015,1
theobromine,-1.05,1,180.16699999999997,1,2,0,72.68,-2.523,Cn1cnc2c1c(=O)[nH]c(=O)n2C,180.16699999999997,5,1,-1.0397,1
Isoquinoline,-2.531,2,129.16199999999998,0,2,0,12.89,-1.45,c1ccc2cnccc2c1,129.16199999999998,1,0,2.2348,1
Anilofos,-5.106,1,367.86,0,1,7,38.77,-4.4319999999999995,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,367.86,5,0,4.331900000000004,1
Hexylbenzene ,-4.22,1,162.276,0,1,5,0.0,-5.21,CCCCCCc1ccccc1,162.276,0,0,3.809400000000003,1
2-Chlorobiphenyl,-4.5280000000000005,1,188.657,0,2,1,0.0,-4.54,Clc1ccccc1-c1ccccc1,188.657,0,0,4.007000000000002,1
2-Methyl-1-Pentene,-2.3480000000000003,1,84.16199999999999,0,0,2,0.0,-3.03,C=C(C)CCC,84.16199999999999,0,0,2.3626000000000005,1
"2,3,4-Trimethylpentane",-3.276,1,114.232,0,0,2,0.0,-4.8,CC(C)C(C)C(C)C,114.23199999999999,0,0,2.9345000000000017,1
Pentachlorobenzene,-5.167999999999999,1,250.339,0,1,0,0.0,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,250.339,0,0,4.9536,1
m-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.01,O=[N+]([O-])c1cccc(O)c1,139.10999999999999,3,1,1.3004,1
1-Decene,-3.781,1,140.26999999999998,0,0,7,0.0,-5.51,C=CCCCCCCCC,140.27,0,0,3.9230000000000027,1
Glyceryl triacetate,-1.285,1,218.205,0,0,5,78.9,-0.6,CC(=O)OCC(COC(C)=O)OC(C)=O,218.20499999999998,6,0,0.044299999999999784,1
dimethirimol,-3.57,1,209.293,1,1,4,49.25000000000001,-2.24,CCCCc1c(C)nc(N(C)C)nc1O,209.29299999999998,4,1,1.8992200000000001,1
Cyfluthrin,-6.84,1,434.29400000000015,0,3,6,59.32000000000001,-7.337000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,434.29400000000015,4,0,6.317080000000003,0
Pyridine,-1.481,2,79.10199999999998,0,1,0,12.89,0.76,c1ccncc1,79.10199999999998,1,0,1.0816,1
1-Bromoheptane,-3.366,1,179.101,0,0,5,0.0,-4.43,CCCCCCCBr,179.101,0,0,3.351700000000002,1
"3,4-Dimethylpyridine",-2.0669999999999997,1,107.156,0,1,0,12.89,0.36,Cc1ccncc1C,107.15599999999999,1,0,1.69844,1
Fludrocortisone,-3.1719999999999997,1,380.4560000000002,3,4,2,94.83,-3.43,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,380.45600000000013,5,3,1.8737,1
ethiofencarb,-2.855,1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC,225.313,3,1,2.6579000000000006,1
Malonic acid diethylester,-1.413,1,160.16899999999998,0,0,4,52.60000000000001,-0.82,CCOC(=O)CC(=O)OCC,160.16899999999998,4,0,0.5027,1
d-Limonene,-3.429,1,136.238,0,1,1,0.0,-4.26,C=C(C)C1CC=C(C)CC1,136.23799999999997,0,0,3.308900000000002,1
Indan,-3.057,2,118.17899999999996,0,2,0,0.0,-3.04,c1ccc2c(c1)CCC2,118.17899999999999,0,0,2.1753,1
p-t-Butylphenol,-3.1919999999999997,1,150.22099999999998,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1,150.22099999999998,1,1,2.689700000000001,1
Cyclopropyl-5-spirobarbituric acid,-0.088,1,154.125,2,2,0,75.27,-1.886,O=C1NC(=O)C2(CC2)C(=O)N1,154.125,3,2,-0.8674000000000002,1
m-Chloroiodobenzene,-4.3839999999999995,1,238.455,0,1,0,0.0,-3.55,Clc1cccc(I)c1,238.45499999999998,0,0,2.9446000000000003,1
1-Bromonapthalene,-4.434,1,207.07,0,2,0,0.0,-4.35,Brc1cccc2ccccc12,207.07,0,0,3.6023000000000014,1
trans-2-Pentene ,-2.076,1,70.135,0,0,1,0.0,-2.54,C/C=C/CC,70.135,0,0,1.9725,1
"2,6-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1,107.156,1,0,1.69844,1
Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl,131.389,0,0,2.5017000000000005,1
1-Napthylamine,-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12,143.189,1,1,2.4220000000000006,1
m-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.82,Cc1cccc(C)c1,106.16799999999999,0,0,2.30344,1
2-hydroxypteridine,-1.404,1,148.125,1,2,0,71.79,-1.947,Oc1ncc2nccnc2n1,148.125,5,1,0.1253999999999998,1
Methanol,0.441,1,32.042,1,0,0,20.23,1.57,CO,32.042,1,1,-0.3915,1
Amobarbital,-2.312,1,226.276,2,1,4,75.27000000000001,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.27599999999998,3,2,1.1849999999999998,1
2-Butanone,-0.491,1,72.107,0,0,1,17.07,0.52,CCC(C)=O,72.10699999999999,1,0,0.9854,1
5-fluorouracil,-0.792,1,130.078,2,1,0,65.72,-1.077,O=c1[nH]cc(F)c(=O)[nH]1,130.078,2,2,-0.7977000000000001,1
tubercidin,-0.892,1,266.257,4,3,2,126.65,-1.95,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,266.25699999999995,8,4,-1.3750000000000007,1
"1,3-Benzenediol",-1.59,1,110.11199999999998,2,1,0,40.46,0.81,Oc1cccc(O)c1,110.11199999999998,2,2,1.0977999999999999,1
1-Hexanol,-1.3969999999999998,1,102.177,1,0,4,20.23,-1.24,CCCCCCO,102.17699999999999,1,1,1.559,1
1-Chloropentane,-2.294,1,106.596,0,0,3,0.0,-2.73,CCCCCCl,106.596,0,0,2.415400000000001,1
"1,3-Butadiene",-1.376,1,54.09199999999999,0,0,1,0.0,-1.87,C=CC=C,54.09199999999999,0,0,1.3584,1
Propyl acetate,-1.125,1,102.13299999999998,0,0,2,26.3,-0.72,CCCOC(C)=O,102.13299999999998,2,0,0.9595,1
"5,6,7,8-tetrahydro-2-naphthol",-3.0860000000000003,1,148.205,1,2,0,20.23,-1.99,Oc1ccc2c(c1)CCCC2,148.20499999999998,1,1,2.271,1
chloroacetamide,-0.106,1,93.513,1,0,1,43.09,-0.02,NC(=O)CCl,93.513,1,1,-0.2895000000000001,1
Iodofenphos,-6.148,1,413.0,0,1,4,27.69,-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,413.0,4,0,4.494100000000002,1
4-Chlorotoluene,-3.2969999999999997,1,126.586,0,1,0,0.0,-3.08,Cc1ccc(Cl)cc1,126.586,0,0,2.6484200000000007,1
Metribuzin,-2.324,1,214.294,1,1,1,73.8,-2.253,CSc1nnc(C(C)(C)C)c(=O)n1N,214.29399999999998,6,1,0.37150000000000005,1
Tricresyl phosphate,-6.39,1,368.3690000000001,0,3,6,44.760000000000005,-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,368.3690000000001,4,0,6.256760000000005,0
Caproaldehyde,-1.457,1,100.161,0,0,4,17.07,-1.3,CCCCCC=O,100.16099999999999,1,0,1.7656,1
Butamben,-3.0389999999999997,1,193.246,1,1,4,52.32,-3.082,CCCCOC(=O)c1ccc(N)cc1,193.24599999999998,3,1,2.2257,1
RTI 3,-3.049,1,255.277,1,3,0,68.45,-3.043,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,255.277,4,1,2.35452,1
Nerol,-2.603,1,154.253,1,0,4,20.23,-2.46,CC(C)=CCC/C(C)=C\CO,154.253,1,1,2.6714000000000016,1
"2,4'-PCB",-5.142,1,223.102,0,2,1,0.0,-5.28,Clc1ccc(-c2ccccc2Cl)cc1,223.102,0,0,4.660400000000002,1
3-Octanoyloxymethylphenytoin,-4.84,1,408.498,1,3,10,75.71,-6.523,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,408.4980000000001,4,1,4.343200000000004,1
Nitroethane,-0.462,1,75.067,0,0,1,43.14,-0.22,CC[N+](=O)[O-],75.067,2,0,0.2829999999999999,1
