"SMILES","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","Oral absorption","UNIT {Oral absorption}","Oral absorption {measured, converted}","UNIT {Oral absorption}","Species","AssayID","UNIT {AssayID}","Molecule ChEMBL ID","UNIT {Molecule ChEMBL ID}","Document ChEMBL ID","UNIT {Document ChEMBL ID}","Clinical phase","UNIT {Clinical phase}"
"C1=CC=CC(C[N+](CC)(C)C)=C1Br.C1=CC(=CC=C1S(=O)(=O)[O-])C","-","12","Bretylium tosylate","A166","9874698","30","1","18.0","% ","18.0","% ","","","-","","-","","-","","-"
"C1(C(C(NC(C)(C)C)C)=O)=CC(=CC=C1)Cl","-","13","Bupropion","A166","9874698","30","1","87.0","% ","87.0","% ","","","-","","-","","-","","-"
"S1C2N(C(=O)C2NC(=O)C(N)C3=CC=C(O)C=C3)C(=C(C1)CSC4=NNN=C4)C(O)=O.OC(CO)C","-","14","cefatrizine propylene glycol","A166","9874698","30","1","76.0","% ","76.0","% ","","","-","","-","","-","","-"
"S1C2N(C(=O)C2NC(=O)C(=NOC)C=3OC=CC3)C(=C(C1)COC(=O)N)C([O-])=O.[Na+]","-","15","cefuroxime sodium","A166","9874698","30","1","5.0","% ","5.0","% ","","","-","","-","","-","","-"
"S1C2C(NC(C(C3=CC=CC=C3)N)=O)C(=O)N2C(C(O)=O)=C(C1)C.O","-","16","cephalexin monohydrate","A166","9874698","30","1","98.0","% ","98.0","% ","","","-","","-","","-","","-"
"C12=C(C=C(Cl)C(=C1)S(N)(=O)=O)N=CNS2(=O)=O","-","17","Chlorothiazide","A166","9874698","30","1","13.0","% ","13.0","% ","","","-","","-","","-","","-"
"OC1C2C(C3C(C1)(C(CC3)C(=O)CO)C)CCC=4C2(CCC(=O)C4)C","-","18","corticosterone","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"FC12C(C3C(C(O)(C(C3)C)C(=O)CO)(CC1O)C)CCC=4C2(C)C=CC(=O)C4","-","19","Dexamethasone","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"C1=CC=C2OC3C(OC2=C1F)CNC3","-","20","fluparoxan","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"C1(=C(C=C(Cl)C(=C1)S(N)(=O)=O)NCC2=CC=CO2)C(O)=O","-","21","Furosemide","A166","9874698","30","1","61.0","% ","61.0","% ","","","-","","-","","-","","-"
"C1(CC(O)=O)(CCCCC1)CN","-","22","Gabapentin","A166","9874698","30","1","50.0","% ","50.0","% ","","","-","","-","","-","","-"
"ClC1=C(C(Cl)=C(C(=C1[H])[H])[H])C(=NN=C(N([H])[H])N([H])[H])[H]","-","23","Guanabenz","A166","9874698","30","1","75.0","% ","75.0","% ","","","-","","-","","-","","-"
"C12=C(C=C(Cl)C(=C1)S(N)(=O)=O)NCNS2(=O)=O","-","24","Hydrochlorothiazide","A166","9874698","30","1","67.0","% ","67.0","% ","","","-","","-","","-","","-"
"OC1(C2(C(C3C(C4(C(CC3)=CC(=O)CC4)C)C(O)C2)CC1)C)C(=O)CO","-","25","Hydrocortisone","A166","9874698","30","1","91.0","% ","91.0","% ","","","-","","-","","-","","-"
"C1=CC(=CC=C1)C(C2=CC=CC(=C2)C(C(O)=O)C)=O","-","26","Ketoprofen","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"OC(CNC(CCC1=CC=CC=C1)C)C2=CC(=C(O)C=C2)C(=O)N","-","27","labetatol","A166","9874698","30","1","95.0","% ","95.0","% ","","","-","","-","","-","","-"
"ClC1=C(C=2N=NC(=NC2N)N)C=CC=C1Cl","-","28","lamotrigine","A166","9874698","30","1","70.0","% ","70.0","% ","","","-","","-","","-","","-"
"N1(C(CCC1)C(O)=O)C(C(NC(CCC2=CC=CC=C2)C(O)=O)CCCCN)=O.O.O","-","29","lisinopril dihydrate","A166","9874698","30","1","25.0","% ","25.0","% ","","","-","","-","","-","","-"
"N12C(C(NC(C(C3=CC=CC=C3)N)=O)C1=O)CCC(=C2C(O)=O)Cl.O","-","30","loracarbef-D monohydrate","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"OC(C(C(CO)O)O)C(CO)O","-","31","Mannitol","A166","9874698","30","1","15.0","% ","15.0","% ","","","-","","-","","-","","-"
"OC1(C2(C(C3C(C(O)C2)C4(C(C(C3)C)=CC(=O)C=C4)C)CC1)C)C(=O)CO","-","32","Methylprednisolone","A166","9874698","30","1","82.0","% ","82.0","% ","","","-","","-","","-","","-"
"O(CC(O)CNC(C)C)C1=CC=C(CCOC)C=C1","-","33","-","A166","9874698","30","1","95.0","% ","95.0","% ","","","-","","-","","-","","-"
"C12=C(CC(O)C(C1)O)C=CC=C2OCC(CNC(C)(C)C)O","-","34","Nadolol","A166","9874698","30","1","34.0","% ","34.0","% ","","","-","","-","","-","","-"
"O1C(N2C=C(C(=O)NC2=O)C#CC)C(O)C(O)C1CO","-","35","netivudine","A166","9874698","30","1","28.0","% ","28.0","% ","","","-","","-","","-","","-"
"OC1=C(C=C(NN=C2C=C(C(=O)C=C2)C(O)=O)C=C1)C(O)=O","-","36","olsalazine disodiam","A166","9874698","30","1","2.0","% ","2.0","% ","","","-","","-","","-","","-"
"O=C1C(C(C(C=2N(C=3C(C21)=C(C(=C(C3[H])[H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])(C(N4C(=NC(=C4[H])[H])C([H])([H])[H])([H])[H])[H]","-","37","ondansetron","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"O(C1=C(OCC=C)C=CC=C1)CC(CNC(C)C)O","-","38","oxyprenolol","A166","9874698","30","1","90.0","% ","90.0","% ","","","-","","-","","-","","-"
"S1C2N(C(C1(C)C)C(O)=O)C(=O)C2NC(=O)COC3=CC=CC=C3","-","39","Penicillin V","A166","9874698","30","1","45.0","% ","45.0","% ","","","-","","-","","-","","-"
"C1(C2=CC=CC=C2)(C3=CC=CC=C3)NC(=O)NC1=O","-","40","Phenytoin","A166","9874698","30","1","90.0","% ","90.0","% ","","","-","","-","","-","","-"
"C12=C(NC=C1)C=CC=C2OCC(CNC(C)C)O","-","41","Pindolol","A166","9874698","30","1","90.0","% ","90.0","% ","","","-","","-","","-","","-"
"CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1","-","42","practolol","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"O=C(C1C2(C(C3C(C4(C(CC3)=CC(=O)CC4)C)CC2)CC1)C)C","-","43","progesterone","A166","9874698","30","1","91.0","% ","91.0","% ","","","-","","-","","-","","-"
"C=12C(OCC(CNC(C)C)O)=CC=CC1C=CC=C2","-","44","Propranolol","A166","9874698","30","1","90.0","% ","90.0","% ","","","-","","-","","-","","-"
"S=C1NC(CCC)=CC(=O)N1","-","45","propylthiouracil","A166","9874698","30","1","75.0","% ","75.0","% ","","","-","","-","","-","","-"
"C=1(OC(CSCCNC(=C[N+](=O)[O-])NC)=CC1)CN(C)C","-","46","Ranitidine","A166","9874698","30","1","50.0","% ","50.0","% ","","","-","","-","","-","","-"
"C1(=C(C=CC=C1)O)C(O)=O","-","47","Salicylic acid","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"C1(C(CNC(C)C)O)=CC=C(NS(C)(=O)=O)C=C1","-","48","Sotalol","A166","9874698","30","1","95.0","% ","95.0","% ","","","-","","-","","-","","-"
"S(=O)(=O)(NC=1N=CC=CC1)C2=CC=C(NN=C3C=C(C(=O)C=C3)C(O)=O)C=C2","-","49","Sulfasalazine","A166","9874698","30","1","65.0","% ","65.0","% ","","","-","","-","","-","","-"
"C(CCC(O)=O)(O)=O.C12=C(NC=C1CCN(C)C)C=CC(=C2)CS(NC)(=O)=O","-","50","sumatriptan succinate","A166","9874698","30","1","75.0","% ","75.0","% ","","","-","","-","","-","","-"
"C(NCC(C1=CC(=CC(=C1)O)O)O)(C)(C)C","-","51","Terbutaline","A166","9874698","30","1","60.0","% ","60.0","% ","","","-","","-","","-","","-"
"OC1C2(C(C3C(C4(C(CC3)=CC(=O)CC4)C)CC2)CC1)C","-","52","Testosterone","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"S1N=C(N2CCOCC2)C(OCC(O)CNC(C)(C)C)=N1.OC(=O)C=CC(O)=O","-","53","timolol maleate","A166","9874698","30","1","90.0","% ","90.0","% ","","","-","","-","","-","","-"
"O(C1=CC(CC=2C(=NC(=NC2)N)N)=CC(OC)=C1OC)C","-","54","Trimethoprim","A166","9874698","30","1","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"[Na+].O1C(=O)C(C(CC(=O)C)C2=CC=CC=C2)=C([O-])C=3C1=CC=CC3","-","55","warfarin sodium","A166","9874698","30","1","98.0","% ","98.0","% ","","","-","","-","","-","","-"
"","-","1","0311C90","A166","9874698","30","1","60.0","% ","60.0","% ","","","-","","-","","-","","-"
"C1=CC=C(C(=C1)CC=C)OCC(O)CNC(C)C","-","-","Alprenolol","A1503","-","95","4","96.0","% ","96.0","% ","","","-","","-","","-","","-"
"S1C2N(C(C1(C)C)C(O)=O)C(=O)C2NC(=O)C(N)C3=CC=C(O)C=C3","-","","Amoxicillin","A1503","-","95","4","93.0","% ","93.0","% ","","","-","","-","","-","","-"
"N1(C2=C(C=CC=C2)C=CC3=C1C=CC=C3)C(N)=O","-","-","carbamazepine","A1503","-","95","4","70.0","% ","70.0","% ","","","-","","-","","-","","-"
"C=12C=C(N3CCNCC3)C(=CC1C(=O)C(=CN2C4CC4)C(O)=O)F","-","-","Ciprofloxacin","A1503","-","95","4","60.0","% ","60.0","% ","","","-","","-","","-","","-"
"N1(C2=C(CCC3=C1C=CC=C3)C=CC=C2)CCCNC","-","-","Desipramine","A1503","-","95","4","38.0","% ","38.0","% ","","","-","","-","","-","","-"
"P(C(=O)O)(O)(O)=O","-","-","foscarnet","A1503","-","95","4","17.0","% ","17.0","% ","","","-","","-","","-","","-"
"C1(=C(C=C(Cl)C(=C1)S(N)(=O)=O)NCC2=CC=CO2)C(O)=O","-","-","Furosemide","A1503","-","95","4","71.0","% ","71.0","% ","","","-","","-","","-","","-"
"C12=C(C=C(Cl)C(=C1)S(N)(=O)=O)NCNS2(=O)=O","-","-","Hydrochlorothiazide","A1503","-","95","4","71.0","% ","71.0","% ","","","-","","-","","-","","-"
"C1=CC(=CC=C1)C(C2=CC=CC(=C2)C(C(O)=O)C)=O","-","-","Ketoprofen","A1503","-","95","4","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"OC=1C=C(CC(N)C(O)=O)C=CC1O","-","","levodopa","A1503","-","95","4","41.0","% ","41.0","% ","","","-","","-","","-","","-"
"OC(C(O)C(O)CO)C(O)CO","-","","Mannitol","A1503","-","95","4","26.0","% ","26.0","% ","","","-","","-","","-","","-"
"C(O)(=O)C(CC1=CC(=C(O)C=C1)O)(C)N","-","-","Methyldopa","A1503","-","95","4","42.0","% ","42.0","% ","","","-","","-","","-","","-"
"C12=C(NC(C)N(C1=O)C3=C(C=CC=C3)C)C=C(Cl)C(=C2)S(N)(=O)=O","-","-","Metolazone","A1503","-","95","4","64.0","% ","64.0","% ","","","-","","-","","-","","-"
"O(C1=CC2=C(C=C(C(C)C(O)=O)C=C2)C=C1)C","-","","Naproxen","A1503","-","95","4","99.0","% ","99.0","% ","","","-","","-","","-","","-"
"C=1(C2=C(NC(CN1)=O)C=CC(=C2)Cl)C3=CC=CC=C3","-","-","Nordiazepam","A1503","-","95","4","99.0","% ","99.0","% ","","","-","","-","","-","","-"
"OC1=C(C=C(NN=C2C=C(C(=O)C=C2)C(O)=O)C=C1)C(O)=O","-","","olsalazine","A1503","-","95","4","2.3","% ","2.3","% ","","","-","","-","","-","","-"
"C=12C(C3=CC=CC=C3)=NC(O)C(NC1C=CC(=C2)Cl)=O","-","-","Oxazepam","A1503","-","95","4","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"C1(=C(C=CC=C1)OCC(CNC(C)C)O)OCC=C","-","-","oxprenolol","A1503","-","95","4","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"N1(C2=CC=CC=C2)N(C(C)=CC1=O)C","-","-","Phenazone","A1503","-","95","4","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"CC(NCC(COC1=CC=CC2=C1C=CN2)O)C","-","","Pindolol","A1503","-","95","4","92.0","% ","92.0","% ","","","-","","-","","-","","-"
"CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1","-","-","practolol","A1503","-","95","4","95.0","% ","95.0","% ","","","-","","-","","-","","-"
"C=12C(OCC(CNC(C)C)O)=CC=CC1C=CC=C2","-","-","Propranolol","A1503","-","95","4","26.0","% ","26.0","% ","","","-","","-","","-","","-"
"O(C1(OC(C(O)C1O)CO)CO)C2OC(C(O)C(O)C2O)COC3OC(C(O)C(O)C3O)CO","-","","Raffinose","A1503","-","95","4","0.3","% ","0.3","% ","","","-","","-","","-","","-"
"S(=O)(=O)(NC=1N=CC=CC1)C2=CC=C(NN=C3C=C(C(=O)C=C3)C(O)=O)C=C2","-","","Sulfasalazine","A1503","-","95","4","12.0","% ","12.0","% ","","","-","","-","","-","","-"
"C1(=C(C=CC(=C1)S(N)(=O)=O)OC)C(NCC2N(CCC2)CC)=O","-","-","sulpiride","A1503","-","95","4","36.0","% ","36.0","% ","","","-","","-","","-","","-"
"C(NCC(C1=CC(=CC(=C1)O)O)O)(C)(C)C","-","-","Terbutaline","A1503","-","95","4","14.0","% ","14.0","% ","","","-","","-","","-","","-"
"C1(CCC(CN)CC1)C(O)=O","-","-","Tranexamic acid","A1503","-","95","4","55.0","% ","55.0","% ","","","-","","-","","-","","-"
"Cl[H].O(C=1C(=C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(C(C(N(C(C(C2=C(C(OC([H])([H])[H])=C(OC([H])([H])[H])C(=C2[H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])C#N)C(=C(C1OC([H])([H])[H])[H])[H])[H])C([H])([H])[H]","-","","Verapamil","A1503","-","95","4","22.0","% ","22.0","% ","","","-","","-","","-","","-"
"C1=CC=C(C(=C1)CC=C)OCC(O)CNC(C)C","-","-","Alprenolol","A1546","11384238","1930","3","96.0","% ","96.0","% ","","","-","","-","","-","","-"
"C1(=NC(=C(N=C1N)N)C(NC(N)=N)=O)Cl","-","-","Amiloride","A1546","11384238","1930","3","58.0","% ","58.0","% ","","","-","","-","","-","","-"
"CN1N(C(=O)C=C1C)C2=CC=CC=C2","-","-","Antipyrin","A1546","11384238","1930","3","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"C1(=CC=C(CC(N)=O)C=C1)OCC(CNC(C)C)O","-","-","atenolol","A1546","11384238","1930","3","54.0","% ","54.0","% ","","","-","","-","","-","","-"
"CNC(NC#N)=NCCSCC1=C(C)NC=N1","-","-","Cimetidine","A1546","11384238","1930","3","79.0","% ","79.0","% ","","","-","","-","","-","","-"
"C=12C=C(N3CCNCC3)C(=CC1C(=O)C(=CN2C4CC4)C(O)=O)F","-","-","Ciprofloxacin","A1546","11384238","1930","3","69.0","% ","69.0","% ","","","-","","-","","-","","-"
"C=1(C2=C(N(C)C(CN1)=O)C=CC(=C2)Cl)C3=CC=CC=C3","-","-","Diazepam","A1546","11384238","1930","3","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"P(C(=O)O)(O)(O)=O","-","-","foscarnet","A1546","11384238","1930","3","17.0","% ","17.0","% ","","","-","","-","","-","","-"
"O(C1C(O)C(OC1CO)(O)CO)C2OC(C(O)C(O)C2O)CO","-","","lactulose","A1546","11384238","1930","3","0.6","% ","0.6","% ","","","-","","-","","-","","-"
"OC(C(O)C(O)CO)C(O)CO","-","","Mannitol","A1546","11384238","1930","3","26.0","% ","26.0","% ","","","-","","-","","-","","-"
"C12=C(NC(C)N(C1=O)C3=C(C=CC=C3)C)C=C(Cl)C(=C2)S(N)(=O)=O","-","-","Metolazone","A1546","11384238","1930","3","64.0","% ","64.0","% ","","","-","","-","","-","","-"
"N(C(C)C)CC(COC1=CC=C(C=C1)CCOC)O","-","-","metoprolol","A1546","11384238","1930","3","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"C=1(C2=C(NC(CN1)=O)C=CC(=C2)Cl)C3=CC=CC=C3","-","-","Nordazepam","A1546","11384238","1930","3","99.0","% ","99.0","% ","","","-","","-","","-","","-"
"C=12C(C3=CC=CC=C3)=NC(O)C(NC1C=CC(=C2)Cl)=O","-","-","Oxazepam","A1546","11384238","1930","3","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"C1(=C(C=CC=C1)OCC(CNC(C)C)O)OCC=C","-","-","oxprenolol","A1546","11384238","1930","3","97.0","% ","97.0","% ","","","-","","-","","-","","-"
"CC(NCC(COC1=CC=CC2=C1C=CN2)O)C","-","-","Pindolol","A1546","11384238","1930","3","92.0","% ","92.0","% ","","","-","","-","","-","","-"
"O(C1(OC(C(O)C1O)CO)CO)C2OC(C(O)C(O)C2O)COC3OC(C(O)C(O)C3O)CO","-","","Raffinose","A1546","11384238","1930","3","0.3","% ","0.3","% ","","","-","","-","","-","","-"
"S(=O)(=O)(N1CCN(CC1)C)C2=CC(C=3NC=4C(=NN(C4C(=O)N3)C)CCC)=C(OCC)C=C2","-","","sildenafil","A1546","11384238","1930","3","92.0","% ","92.0","% ","","","-","","-","","-","","-"
"S(=O)(=O)(NC=1N=CC=CC1)C2=CC=C(NN=C3C=C(C(=O)C=C3)C(O)=O)C=C2","-","","Sulfasalazine","A1546","11384238","1930","3","12.0","% ","12.0","% ","","","-","","-","","-","","-"
"C1(=C(C=CC(=C1)S(N)(=O)=O)OC)C(NCC2N(CCC2)CC)=O","-","-","sulpiride","A1546","11384238","1930","3","36.0","% ","36.0","% ","","","-","","-","","-","","-"
"OCC1CC(N2C=3N=C(N=C(NC4CC4)C3N=C2)N)C=C1","-","","Abacavir","A1552","12036371","-","S1","83.0","% ","83.0","% ","","","-","","-","","-","","-"
"C1(=C(C=C(NC(CCC)=O)C=C1)C(C)=O)OCC(CNC(C)C)O","-","-","Acebutolol","A1552","12036371","-","S1","37.0","% ","37.0","% ","","","-","","-","","-","","-"
"C1(=CC=C(O)C=C1)NC(C)=O","-","-","Acetaminophen","A1552","12036371","-","S1","88.0","% ","88.0","% ","","","-","","-","","-","","-"
"C1(=C(C=CC=C1)OC(C)=O)C(=O)O","-","-","Acetylsalicylic acid","A1552","12036371","-","S1","68.0","% ","68.0","% ","","","-","","-","","-","","-"
"C12=C(N=CN1COCCO)C(NC(=N2)N)=O","-","-","Acyclovir","A1552","12036371","-","S1","23.0","% ","23.0","% ","","","-","","-","","-","","-"
"OC(CNC(C)(C)C)C1=CC(=C(O)C=C1)CO","-","","albuterol","A1552","12036371","-","S1","50.0","% ","50.0","% ","","","-","","-","","-","","-"
"C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O","-","-","Alendronate-alendronic acid","A1552","12036371","-","S1","1.0","% ","1.0","% ","","","-","","-","","-","","-"
"C12=C(N=CN=C1O)NN=C2","-","-","allopurinol","A1552","12036371","-","S1","53.0","% ","53.0","% ","","","-","","-","","-","","-"
"O(C(C(CC(N(C)C)C)(C1=CC=CC=C1)C2=CC=CC=C2)CC)C(=O)C","-","","LAAM","A1552","12036371","-","S1","47.0","% ","47.0","% ","","","-","","-","","-","","-"
"C12=C(C(C3=CC=CC=C3)=NCC=4N1C(=NN4)C)C=C(Cl)C=C2","-","-","Alprazolam","A1552","12036371","-","S1","88.0","% ","88.0","% ","","","-","","-","","-","","-"
"C1C2CC3CC1CC(C3)(C2)N","-","-","Amantadine","A1552","12036371","-","S1","70.0","% ","70.0","% ","","","-","","-","","-","","-"
"C1(=NC(=C(N=C1N)N)C(NC(N)=N)=O)Cl","-","-","Amiloride","A1552","12036371","-","S1","50.0","% ","50.0","% ","","","-","","-","","-","","-"
"C=1(C2=C(C=CC=C2)OC1CCCC)C(C3=CC(=C(OCCN(CC)CC)C(=C3)I)I)=O","-","-","Amiodarone","A1552","12036371","-","S1","46.0","% ","46.0","% ","","","-","","-","","-","","-"
"C1(C2=C(CCC3=C1C=CC=C3)C=CC=C2)=CCCN(C)C","-","-","Amitriptyline","A1552","12036371","-","S1","48.0","% ","48.0","% ","","","-","","-","","-","","-"
"C=1(C(C(=C(C)NC1COCCN)C(OC)=O)C2=C(C=CC=C2)Cl)C(OCC)=O","-","-","Amlodipine","A1552","12036371","-","S1","74.0","% ","74.0","% ","","","-","","-","","-","","-"
"N12C(C(OC1CC2=O)=CCO)C(O)=O.N12C(C(NC(C(C3=CC=C(O)C=C3)N)=O)C1=O)SC(C2C(O)=O)(C)C","-","-","amoxicillin-clavulinate","A1552","12036371","-","S1","93.0","% ","93.0","% ","","","-","","-","","-","","-"
"O1C2(O)CC(O)C(C1CC(OC3OC(C(O)C(N)C3O)C)C=CC=CC=CC=CC=CC=CC=CC(C(O)C(C(OC(=O)CC(O)CC(O)CCC(O)C(O)CC(O)C2)C)C)C)C(O)=O","-","","amphotericin b","A1552","12036371","-","S1","3.0","% ","3.0","% ","","","-","","-","","-","","-"
"S1C2N(C(C1(C)C)C(O)=O)C(=O)C2NC(=O)C(N)C3=CC=CC=C3","-","","Ampicillin","A1552","12036371","-","S1","62.0","% ","62.0","% ","","","-","","-","","-","","-"
"C=1(C=2C=CN=CC2)C=C(C(=O)NC1)N","-","","Amrinone-Inamrinone","A1552","12036371","-","S1","93.0","% ","93.0","% ","","","-","","-","","-","","-"
"C1(=CC(=CC(=C1)CN2C=NC=N2)C(C#N)(C)C)C(C#N)(C)C","-","-","Anastrozole","A1552","12036371","-","S1","80.0","% ","80.0","% ","","","-","","-","","-","","-"
"C1(=CC=C(CC(N)=O)C=C1)OCC(CNC(C)C)O","-","-","atenolol","A1552","12036371","-","S1","56.0","% ","56.0","% ","","","-","","-","","-","","-"
"FC1=CC=C(C=2N(C(C(C)C)=C(C2C3=CC=CC=C3)C(=O)NC4=CC=CC=C4)CCC(O)CC(O)CC(O)=O)C=C1","-","","Atorvastatin","A1552","12036371","-","S1","12.0","% ","12.0","% ","","","-","","-","","-","","-"
"ClC1=CC=C(C2CCC(CC2)C3=C(O)C=4C(C(=O)C3=O)=CC=CC4)C=C1","-","","Atovaquone","A1552","12036371","-","S1","23.0","% ","23.0","% ","","","-","","-","","-","","-"
"O(C1CC2N(C(CC2)C1)C)C(=O)C(C3=CC=CC=C3)CO","-","","Atropine","A1552","12036371","-","S1","50.0","% ","50.0","% ","","","-","","-","","-","","-"
"C=1(C2=C(N=CN2)N=CN1)SC3=C(N=CN3C)[N+](=O)[O-]","-","-","Azathioprine","A1552","12036371","-","S1","60.0","% ","60.0","% ","","","-","","-","","-","","-"
"O(C1C(C(OC2OC(C(O)C(OC)(C2)C)C)C(C(OC(C(O)(C(O)C(N(CC(CC1(O)C)C)C)C)C)CC)=O)C)C)C3OC(CC(N(C)C)C3O)C","-","","Azithromycin","A1552","12036371","-","S1","34.0","% ","34.0","% ","","","-","","-","","-","","-"
"C1(C(CC(O)=O)CN)=CC=C(Cl)C=C1","-","-","Baclofen","A1552","12036371","-","S1","75.0","% ","75.0","% ","","","-","","-","","-","","-"
"FC12C(C3C(C(O)(C(C3)C)C(=O)CO)(CC1O)C)CCC=4C2(C)C=CC(=O)C4","-","","betamethasone","A1552","12036371","-","S1","72.0","% ","72.0","% ","","","-","","-","","-","","-"
"C1(=CC=C(CCOCC2CC2)C=C1)OCC(CNC(C)C)O","-","-","betaxolol","A1552","12036371","-","S1","89.0","% ","89.0","% ","","","-","","-","","-","","-"
"C1(=CC=CC=C1Br)C[N+](C)(CC)C","-","-","Bretylium","A1552","12036371","-","S1","23.0","% ","23.0","% ","","","-","","-","","-","","-"
"BrC=1NC=2C3=C(C=4C(N(CC(C(=O)NC5(OC6(O)N(C(C(=O)N7C6CCC7)CC(C)C)C5=O)C(C)C)C4)C)CC31)C=CC2","-","","Bromocriptine","A1552","12036371","-","S1","5.0","% ","5.0","% ","","","-","","-","","-","","-"
"C1(=C(C=C(C(O)=O)C=C1S(N)(=O)=O)NCCCC)OC2=CC=CC=C2","-","-","Bumetanide","A1552","12036371","-","S1","81.0","% ","81.0","% ","","","-","","-","","-","","-"
"C1C(=O)N(CCCCN2CCN(C3=NC=CC=N3)CC2)C(=O)CC14CCCC4","-","-","Buspirone","A1552","12036371","-","S1","4.0","% ","4.0","% ","","","-","","-","","-","","-"
"O(S(C)(=O)=O)CCCCOS(C)(=O)=O","-","-","Busulfan","A1552","12036371","-","S1","70.0","% ","70.0","% ","","","-","","-","","-","","-"
"O=C1N(C(=O)N(C=2N=C(N(C21)C([H])([H])[H])[H])C([H])([H])[H])C([H])([H])[H]","-","","Caffeine","A1552","12036371","-","S1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"C1(C2C(C(C(CCCC(C)(C)O)C)CC2)(CCC1)C)=CC=C3C(C(CC(C3)O)O)=C","-","-","Calcitirol","A1552","12036371","-","S1","61.0","% ","61.0","% ","","","-","","-","","-","","-"
"C1(=CC=CC=C1C2=CC=C(CN3C(=NC4=C3C(C(=O)O)=CC=C4)OCC)C=C2)C5=NN=NN5","-","-","Candesartan","A1552","12036371","-","S1","42.0","% ","42.0","% ","","","-","","-","","-","","-"
